,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.55,0.38,0.32,0.57,0.76,0.65
centroid-0.55,0.38,0.32,0.57,0.76,0.65
complete-0.7,0.26,0.14,0.55,0.72,0.62
single-0.35,0.29,0.18,0.47,0.57,0.51
max
average-0.55,0.4,0.36,0.59,0.77,0.66
centroid-0.55,0.4,0.36,0.59,0.77,0.66
complete-0.7,0.29,0.23,0.57,0.82,0.67
single-0.35,0.33,0.24,0.49,0.59,0.54
min
average-0.55,0.34,0.27,0.54,0.75,0.63
centroid-0.55,0.34,0.27,0.54,0.75,0.63
complete-0.7,0.22,0.05,0.53,0.58,0.55
single-0.35,0.25,0.14,0.44,0.54,0.48
std
average-0.55,0.02,0.03,0.02,0.01,0.01
centroid-0.55,0.02,0.03,0.02,0.01,0.01
complete-0.7,0.03,0.07,0.01,0.08,0.04
single-0.35,0.03,0.03,0.02,0.02,0.02
test finished in 254.43 seconds
