,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.55,0.34,0.32,0.72,0.85,0.78
centroid-0.55,0.34,0.32,0.72,0.85,0.78
complete-0.7,0.16,0.19,0.69,0.97,0.8
single-0.45,0.28,0.24,0.68,0.76,0.72
max
average-0.55,0.38,0.39,0.73,0.88,0.8
centroid-0.55,0.38,0.39,0.73,0.88,0.8
complete-0.7,0.2,0.25,0.7,0.98,0.82
single-0.45,0.3,0.29,0.69,0.78,0.73
min
average-0.55,0.29,0.25,0.69,0.83,0.76
centroid-0.55,0.29,0.25,0.69,0.83,0.76
complete-0.7,0.1,0.1,0.67,0.95,0.78
single-0.45,0.26,0.19,0.66,0.73,0.7
std
average-0.55,0.04,0.05,0.01,0.02,0.01
centroid-0.55,0.04,0.05,0.01,0.02,0.01
complete-0.7,0.04,0.06,0.01,0.01,0.01
single-0.45,0.02,0.03,0.01,0.02,0.01
test finished in 213.50 seconds
