,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.03,0.01,0.63,0.08,0.14
0.40,0.15,0.05,0.65,0.29,0.4
0.45,0.3,0.18,0.67,0.57,0.61
0.50,0.36,0.28,0.69,0.73,0.71
0.55,0.33,0.32,0.7,0.85,0.77
0.60,0.27,0.29,0.7,0.92,0.8
0.65,0.21,0.24,0.7,0.96,0.81
0.70,0.12,0.14,0.68,0.98,0.8
max
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,0.05,0.01,0.77,0.1,0.17
0.40,0.17,0.06,0.67,0.31,0.41
0.45,0.36,0.27,0.69,0.65,0.67
0.50,0.39,0.31,0.71,0.76,0.73
0.55,0.34,0.34,0.71,0.87,0.78
0.60,0.29,0.31,0.71,0.94,0.81
0.65,0.23,0.27,0.7,0.97,0.81
0.70,0.16,0.18,0.68,0.99,0.81
min
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,0.01,0.0,0.56,0.05,0.1
0.40,0.12,0.03,0.63,0.26,0.37
0.45,0.26,0.12,0.65,0.51,0.58
0.50,0.33,0.24,0.67,0.71,0.69
0.55,0.31,0.29,0.69,0.82,0.75
0.60,0.25,0.27,0.69,0.9,0.78
0.65,0.18,0.2,0.69,0.96,0.81
0.70,0.09,0.09,0.67,0.98,0.8
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.02,0.01,0.08,0.02,0.03
0.40,0.02,0.01,0.02,0.02,0.02
0.45,0.04,0.06,0.01,0.05,0.04
0.50,0.02,0.03,0.01,0.02,0.02
0.55,0.01,0.02,0.01,0.02,0.01
0.60,0.01,0.02,0.01,0.02,0.01
0.65,0.02,0.03,0.01,0.0,0.0
0.70,0.03,0.03,0.01,0.01,0.0
test finished in 255.05 seconds
