,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,0.88,0.0,0.0
0.35,0.02,0.0,0.53,0.04,0.07
0.40,0.15,0.05,0.63,0.32,0.42
0.45,0.31,0.18,0.69,0.58,0.63
0.50,0.37,0.27,0.7,0.74,0.71
0.55,0.32,0.29,0.7,0.85,0.77
0.60,0.25,0.25,0.7,0.91,0.79
0.65,0.17,0.17,0.69,0.96,0.8
0.70,0.1,0.1,0.67,0.98,0.8
max
0.30,-0.0,-0.0,1.0,0.0,0.01
0.35,0.05,0.01,0.59,0.07,0.13
0.40,0.19,0.07,0.66,0.35,0.45
0.45,0.34,0.21,0.71,0.62,0.64
0.50,0.42,0.32,0.72,0.76,0.74
0.55,0.37,0.33,0.72,0.86,0.78
0.60,0.3,0.29,0.71,0.92,0.8
0.65,0.2,0.19,0.69,0.97,0.8
0.70,0.12,0.11,0.67,0.98,0.8
min
0.30,-0.0,-0.0,0.5,0.0,-0.0
0.35,0.0,0.0,0.42,0.02,0.03
0.40,0.13,0.04,0.58,0.27,0.38
0.45,0.28,0.17,0.66,0.53,0.6
0.50,0.32,0.24,0.67,0.7,0.68
0.55,0.28,0.26,0.69,0.83,0.75
0.60,0.22,0.21,0.68,0.9,0.77
0.65,0.16,0.16,0.68,0.96,0.8
0.70,0.09,0.09,0.66,0.98,0.79
std
0.30,0.0,0.0,0.22,0.0,0.0
0.35,0.02,0.0,0.07,0.02,0.04
0.40,0.02,0.01,0.03,0.03,0.03
0.45,0.03,0.02,0.02,0.03,0.02
0.50,0.04,0.03,0.02,0.02,0.02
0.55,0.03,0.02,0.01,0.01,0.01
0.60,0.03,0.03,0.01,0.01,0.01
0.65,0.02,0.01,0.0,0.0,0.0
0.70,0.01,0.01,0.0,0.0,0.0
test finished in 142.09 seconds
