,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.01,0.0,0.64,0.04,0.08
0.55,0.05,0.01,0.66,0.23,0.34
0.60,0.26,0.09,0.71,0.6,0.65
0.65,0.25,0.24,0.71,0.92,0.8
0.70,0.15,0.17,0.69,0.98,0.81
0.75,0.08,0.09,0.68,0.99,0.8
0.80,0.04,0.05,0.67,1.0,0.8
max
0.50,0.01,0.0,0.67,0.04,0.08
0.55,0.09,0.02,0.71,0.27,0.39
0.60,0.42,0.19,0.74,0.71,0.72
0.65,0.31,0.27,0.71,0.94,0.81
0.70,0.21,0.24,0.69,0.99,0.81
0.75,0.11,0.13,0.68,1.0,0.81
0.80,0.06,0.07,0.67,1.0,0.8
min
0.50,0.0,0.0,0.59,0.04,0.07
0.55,0.02,0.0,0.61,0.15,0.24
0.60,0.16,0.04,0.7,0.49,0.58
0.65,0.19,0.2,0.7,0.88,0.79
0.70,0.11,0.12,0.68,0.97,0.81
0.75,0.07,0.07,0.67,0.98,0.8
0.80,0.03,0.03,0.66,0.99,0.79
std
0.50,0.01,0.0,0.03,0.0,0.0
0.55,0.02,0.01,0.04,0.05,0.06
0.60,0.1,0.06,0.02,0.08,0.05
0.65,0.04,0.03,0.0,0.02,0.01
0.70,0.04,0.05,0.0,0.01,0.0
0.75,0.02,0.02,0.01,0.01,0.0
0.80,0.01,0.01,0.0,0.0,0.0
test finished in 118.90 seconds
