,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.10,0.01,0.0,0.7,0.03,0.05
0.15,0.06,0.02,0.43,0.11,0.18
0.20,0.11,0.05,0.5,0.25,0.34
0.25,0.15,0.08,0.55,0.37,0.44
0.30,0.2,0.13,0.6,0.5,0.54
0.35,0.25,0.17,0.63,0.6,0.61
0.40,0.26,0.21,0.66,0.7,0.68
0.45,0.29,0.26,0.69,0.78,0.73
0.50,0.26,0.24,0.69,0.84,0.76
0.55,0.23,0.23,0.69,0.9,0.78
max
0.10,0.03,0.01,1.0,0.08,0.14
0.15,0.08,0.03,0.5,0.14,0.22
0.20,0.15,0.07,0.57,0.28,0.37
0.25,0.19,0.11,0.61,0.39,0.48
0.30,0.25,0.17,0.64,0.51,0.57
0.35,0.28,0.2,0.65,0.62,0.63
0.40,0.3,0.23,0.67,0.71,0.69
0.45,0.34,0.3,0.71,0.8,0.75
0.50,0.3,0.27,0.7,0.85,0.77
0.55,0.27,0.27,0.71,0.92,0.8
min
0.10,-0.0,0.0,0.26,-0.0,-0.0
0.15,0.02,0.01,0.33,0.07,0.12
0.20,0.09,0.03,0.46,0.2,0.28
0.25,0.13,0.06,0.51,0.34,0.41
0.30,0.18,0.1,0.57,0.48,0.53
0.35,0.22,0.15,0.6,0.58,0.59
0.40,0.22,0.19,0.64,0.69,0.67
0.45,0.25,0.23,0.67,0.77,0.73
0.50,0.22,0.21,0.67,0.83,0.74
0.55,0.2,0.19,0.67,0.88,0.76
std
0.10,0.01,0.0,0.32,0.03,0.06
0.15,0.02,0.01,0.07,0.03,0.04
0.20,0.02,0.01,0.04,0.03,0.03
0.25,0.02,0.02,0.04,0.02,0.03
0.30,0.03,0.03,0.03,0.01,0.02
0.35,0.02,0.02,0.02,0.01,0.02
0.40,0.03,0.02,0.01,0.01,0.01
0.45,0.04,0.03,0.01,0.01,0.01
0.50,0.04,0.03,0.01,0.01,0.01
0.55,0.03,0.03,0.02,0.01,0.02
test finished in 263.85 seconds
