,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,0.39,0.01,0.02
0.40,0.21,0.07,0.52,0.25,0.34
0.45,0.39,0.2,0.56,0.48,0.52
0.50,0.43,0.28,0.57,0.63,0.6
0.55,0.38,0.34,0.58,0.76,0.66
0.60,0.34,0.29,0.58,0.86,0.69
0.65,0.27,0.22,0.57,0.92,0.7
0.70,0.19,0.14,0.55,0.95,0.7
max
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.01,0.0,1.0,0.02,0.04
0.40,0.25,0.09,0.54,0.3,0.39
0.45,0.4,0.23,0.58,0.49,0.53
0.50,0.44,0.32,0.58,0.64,0.61
0.55,0.41,0.39,0.59,0.78,0.67
0.60,0.36,0.33,0.59,0.87,0.7
0.65,0.28,0.24,0.57,0.92,0.71
0.70,0.21,0.16,0.55,0.96,0.7
min
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,0.18,0.0,0.0
0.40,0.18,0.05,0.5,0.21,0.3
0.45,0.37,0.17,0.53,0.46,0.51
0.50,0.4,0.24,0.55,0.61,0.58
0.55,0.37,0.3,0.57,0.74,0.64
0.60,0.32,0.24,0.57,0.85,0.68
0.65,0.25,0.19,0.56,0.91,0.7
0.70,0.18,0.13,0.55,0.95,0.7
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.31,0.01,0.01
0.40,0.03,0.01,0.02,0.04,0.04
0.45,0.01,0.02,0.02,0.01,0.01
0.50,0.02,0.03,0.01,0.01,0.01
0.55,0.01,0.03,0.01,0.01,0.01
0.60,0.02,0.04,0.01,0.01,0.01
0.65,0.01,0.02,0.0,0.0,0.0
0.70,0.01,0.01,0.0,0.0,0.0
test finished in 969.46 seconds
