,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.10,0.06,0.02,0.28,0.07,0.11
0.15,0.13,0.06,0.32,0.16,0.21
0.20,0.21,0.11,0.38,0.27,0.31
0.25,0.26,0.14,0.41,0.37,0.39
0.30,0.3,0.17,0.45,0.48,0.47
0.35,0.29,0.18,0.47,0.56,0.51
0.40,0.27,0.18,0.49,0.64,0.55
0.45,0.27,0.19,0.51,0.73,0.6
0.50,0.26,0.17,0.53,0.79,0.63
0.55,0.24,0.15,0.54,0.85,0.66
max
0.10,0.08,0.03,0.34,0.09,0.15
0.15,0.16,0.08,0.36,0.19,0.25
0.20,0.22,0.12,0.4,0.28,0.32
0.25,0.28,0.16,0.44,0.39,0.41
0.30,0.31,0.19,0.47,0.49,0.48
0.35,0.3,0.19,0.49,0.58,0.53
0.40,0.28,0.19,0.51,0.67,0.58
0.45,0.28,0.22,0.53,0.74,0.62
0.50,0.27,0.18,0.54,0.8,0.65
0.55,0.26,0.18,0.55,0.85,0.67
min
0.10,0.02,0.0,0.19,0.02,0.04
0.15,0.09,0.03,0.27,0.12,0.17
0.20,0.19,0.09,0.35,0.25,0.29
0.25,0.24,0.11,0.39,0.33,0.36
0.30,0.28,0.15,0.43,0.46,0.45
0.35,0.28,0.17,0.46,0.55,0.5
0.40,0.25,0.16,0.48,0.63,0.54
0.45,0.25,0.16,0.5,0.72,0.59
0.50,0.24,0.15,0.52,0.79,0.62
0.55,0.22,0.12,0.52,0.84,0.65
std
0.10,0.02,0.01,0.05,0.03,0.04
0.15,0.02,0.02,0.03,0.02,0.03
0.20,0.01,0.01,0.02,0.01,0.01
0.25,0.01,0.02,0.02,0.02,0.02
0.30,0.01,0.01,0.01,0.01,0.01
0.35,0.01,0.01,0.01,0.01,0.01
0.40,0.01,0.01,0.01,0.01,0.01
0.45,0.01,0.02,0.01,0.01,0.01
0.50,0.01,0.01,0.01,0.0,0.01
0.55,0.01,0.02,0.01,0.0,0.01
test finished in 744.41 seconds
