,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.6,0.5,0.28,0.63,0.6,0.62
average-0.65,0.46,0.39,0.62,0.77,0.69
centroid-0.8,0.24,0.2,0.56,0.88,0.69
complete-0.8,0.2,0.21,0.56,0.97,0.71
single-0.45,0.34,0.2,0.49,0.52,0.51
max
average-0.6,0.52,0.31,0.65,0.62,0.64
average-0.65,0.49,0.41,0.64,0.79,0.7
centroid-0.8,0.27,0.25,0.57,0.94,0.71
complete-0.8,0.24,0.26,0.58,0.98,0.72
single-0.45,0.38,0.23,0.52,0.56,0.54
min
average-0.6,0.46,0.2,0.6,0.57,0.58
average-0.65,0.43,0.34,0.59,0.75,0.66
centroid-0.8,0.21,0.13,0.54,0.81,0.65
complete-0.8,0.17,0.17,0.55,0.96,0.7
single-0.45,0.32,0.17,0.47,0.5,0.49
std
average-0.6,0.02,0.04,0.02,0.02,0.02
average-0.65,0.02,0.02,0.02,0.01,0.01
centroid-0.8,0.02,0.04,0.01,0.04,0.02
complete-0.8,0.02,0.03,0.01,0.01,0.01
single-0.45,0.02,0.02,0.02,0.02,0.02
test finished in 869.88 seconds
