,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.65,0.42,0.34,0.59,0.76,0.66
centroid-0.65,0.42,0.34,0.59,0.76,0.66
complete-0.8,0.2,0.19,0.55,0.95,0.7
single-0.5,0.3,0.19,0.49,0.6,0.54
max
average-0.65,0.44,0.37,0.6,0.77,0.67
centroid-0.65,0.44,0.37,0.6,0.77,0.67
complete-0.8,0.21,0.22,0.56,0.97,0.71
single-0.5,0.32,0.2,0.5,0.61,0.55
min
average-0.65,0.39,0.31,0.58,0.74,0.65
centroid-0.65,0.39,0.31,0.58,0.74,0.65
complete-0.8,0.19,0.17,0.54,0.93,0.68
single-0.5,0.29,0.18,0.47,0.57,0.52
std
average-0.65,0.02,0.02,0.01,0.01,0.01
centroid-0.65,0.02,0.02,0.01,0.01,0.01
complete-0.8,0.01,0.02,0.01,0.01,0.01
single-0.5,0.01,0.01,0.01,0.01,0.01
test finished in 253.78 seconds
