,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.09,0.02,0.56,0.12,0.19
0.55,0.3,0.1,0.6,0.37,0.46
0.60,0.49,0.26,0.61,0.61,0.62
0.65,0.42,0.34,0.6,0.76,0.67
0.70,0.32,0.26,0.58,0.89,0.7
0.75,0.22,0.16,0.56,0.96,0.7
0.80,0.11,0.08,0.54,0.99,0.69
max
0.50,0.14,0.03,0.61,0.17,0.27
0.55,0.34,0.14,0.63,0.41,0.5
0.60,0.51,0.32,0.62,0.63,0.63
0.65,0.44,0.38,0.62,0.78,0.69
0.70,0.33,0.28,0.59,0.9,0.71
0.75,0.22,0.17,0.56,0.96,0.71
0.80,0.11,0.09,0.54,0.99,0.69
min
0.50,0.05,0.01,0.48,0.07,0.13
0.55,0.23,0.05,0.57,0.3,0.4
0.60,0.46,0.21,0.6,0.58,0.59
0.65,0.41,0.29,0.59,0.73,0.65
0.70,0.31,0.23,0.58,0.87,0.69
0.75,0.21,0.15,0.56,0.95,0.7
0.80,0.11,0.07,0.53,0.98,0.69
std
0.50,0.04,0.01,0.06,0.04,0.06
0.55,0.05,0.04,0.02,0.05,0.04
0.60,0.02,0.04,0.01,0.02,0.02
0.65,0.01,0.04,0.01,0.02,0.02
0.70,0.01,0.02,0.0,0.01,0.01
0.75,0.0,0.01,0.0,0.0,0.0
0.80,0.0,0.01,0.0,0.0,0.0
test finished in 161.84 seconds
