,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.11,0.03,0.66,0.19,0.29
0.55,0.3,0.17,0.69,0.54,0.6
0.60,0.43,0.32,0.72,0.75,0.74
0.65,0.35,0.34,0.72,0.89,0.8
0.70,0.21,0.22,0.7,0.96,0.81
0.75,0.11,0.11,0.67,0.99,0.8
0.80,0.04,0.04,0.66,1.0,0.79
max
0.50,0.16,0.05,0.75,0.27,0.38
0.55,0.34,0.22,0.71,0.61,0.65
0.60,0.51,0.37,0.75,0.79,0.77
0.65,0.4,0.4,0.74,0.91,0.82
0.70,0.27,0.28,0.72,0.98,0.83
0.75,0.15,0.16,0.69,1.0,0.81
0.80,0.05,0.05,0.66,1.0,0.8
min
0.50,0.06,0.01,0.56,0.11,0.19
0.55,0.28,0.13,0.67,0.5,0.58
0.60,0.34,0.23,0.69,0.72,0.7
0.65,0.28,0.27,0.71,0.88,0.79
0.70,0.16,0.16,0.69,0.96,0.8
0.75,0.06,0.06,0.66,0.99,0.79
0.80,0.03,0.03,0.64,1.0,0.78
std
0.50,0.03,0.01,0.06,0.06,0.07
0.55,0.02,0.03,0.01,0.04,0.02
0.60,0.06,0.05,0.02,0.03,0.03
0.65,0.05,0.04,0.01,0.01,0.01
0.70,0.04,0.04,0.01,0.01,0.01
0.75,0.03,0.03,0.01,0.0,0.01
0.80,0.01,0.01,0.01,0.0,0.01
test finished in 382.02 seconds
