,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.29,0.15,0.71,0.74,0.72
0.75,0.15,0.18,0.68,0.98,0.8
0.80,0.05,0.06,0.66,1.0,0.79
0.85,0.02,0.02,0.65,1.0,0.79
0.90,0.0,0.0,0.65,1.0,0.79
0.95,0.0,0.0,0.65,1.0,0.79
max
0.70,0.43,0.24,0.75,0.86,0.76
0.75,0.2,0.25,0.7,0.99,0.82
0.80,0.09,0.14,0.68,1.0,0.81
0.85,0.03,0.03,0.66,1.0,0.8
0.90,0.01,0.01,0.66,1.0,0.79
0.95,-0.0,-0.0,0.66,1.0,0.79
min
0.70,0.2,0.05,0.68,0.56,0.62
0.75,0.06,0.07,0.65,0.94,0.78
0.80,0.02,0.02,0.65,0.99,0.78
0.85,0.01,0.01,0.64,0.99,0.78
0.90,0.0,0.0,0.64,1.0,0.78
0.95,-0.0,-0.0,0.64,1.0,0.78
std
0.70,0.08,0.07,0.02,0.1,0.05
0.75,0.05,0.06,0.02,0.02,0.01
0.80,0.02,0.04,0.01,0.0,0.01
0.85,0.01,0.01,0.01,0.0,0.01
0.90,0.0,0.0,0.01,0.0,0.0
0.95,0.0,0.0,0.01,0.0,0.0
test finished in 363.54 seconds
