,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.01,0.0,0.48,0.1,0.16
0.75,0.24,0.06,0.55,0.56,0.55
0.80,0.18,0.19,0.55,0.98,0.7
0.85,0.06,0.04,0.51,0.99,0.67
0.90,0.01,0.0,0.5,0.99,0.66
0.95,0.0,0.0,0.5,1.0,0.66
max
0.70,0.01,0.0,0.48,0.11,0.18
0.75,0.27,0.09,0.56,0.59,0.57
0.80,0.19,0.2,0.55,0.99,0.71
0.85,0.06,0.05,0.51,1.0,0.68
0.90,0.01,0.0,0.5,1.0,0.66
0.95,0.0,0.0,0.5,1.0,0.66
min
0.70,0.01,0.0,0.47,0.08,0.14
0.75,0.22,0.04,0.53,0.54,0.54
0.80,0.17,0.18,0.54,0.97,0.7
0.85,0.05,0.03,0.5,0.99,0.67
0.90,0.01,0.0,0.49,0.99,0.66
0.95,0.0,0.0,0.49,1.0,0.66
std
0.70,0.0,0.0,0.0,0.01,0.02
0.75,0.02,0.02,0.01,0.02,0.01
0.80,0.01,0.01,0.0,0.01,0.0
0.85,0.0,0.01,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0,0.0
test finished in 310.60 seconds
