,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.31,0.16,0.46,0.42,0.44
0.45,0.33,0.2,0.48,0.53,0.51
0.50,0.32,0.22,0.51,0.62,0.56
0.55,0.31,0.21,0.53,0.71,0.6
0.60,0.29,0.18,0.54,0.8,0.65
max
0.40,0.36,0.23,0.5,0.47,0.48
0.45,0.37,0.25,0.51,0.57,0.54
0.50,0.35,0.27,0.53,0.65,0.59
0.55,0.34,0.26,0.54,0.73,0.62
0.60,0.31,0.2,0.55,0.81,0.66
min
0.40,0.27,0.13,0.44,0.38,0.41
0.45,0.31,0.17,0.47,0.5,0.49
0.50,0.3,0.19,0.5,0.59,0.54
0.55,0.28,0.18,0.52,0.69,0.59
0.60,0.26,0.16,0.54,0.78,0.64
std
0.40,0.03,0.04,0.02,0.03,0.02
0.45,0.02,0.03,0.01,0.02,0.02
0.50,0.02,0.03,0.01,0.02,0.02
0.55,0.02,0.03,0.01,0.01,0.01
0.60,0.02,0.02,0.0,0.01,0.01
test finished in 377.06 seconds
