,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.27,0.11,0.65,0.31,0.42
0.55,0.49,0.32,0.65,0.56,0.6
0.60,0.53,0.46,0.64,0.72,0.68
0.65,0.48,0.46,0.64,0.83,0.72
0.70,0.39,0.37,0.61,0.92,0.73
0.75,0.27,0.22,0.57,0.97,0.72
0.80,0.15,0.1,0.54,0.99,0.69
max
0.50,0.35,0.21,0.69,0.4,0.49
0.55,0.53,0.4,0.7,0.61,0.64
0.60,0.59,0.55,0.68,0.76,0.72
0.65,0.56,0.58,0.68,0.86,0.76
0.70,0.46,0.47,0.64,0.93,0.76
0.75,0.32,0.28,0.59,0.97,0.74
0.80,0.19,0.14,0.55,0.99,0.7
min
0.50,0.21,0.08,0.6,0.24,0.35
0.55,0.45,0.23,0.61,0.52,0.56
0.60,0.46,0.35,0.59,0.69,0.63
0.65,0.42,0.38,0.6,0.82,0.69
0.70,0.35,0.29,0.58,0.9,0.71
0.75,0.22,0.16,0.55,0.96,0.7
0.80,0.12,0.06,0.52,0.98,0.68
std
0.50,0.04,0.05,0.04,0.05,0.04
0.55,0.03,0.06,0.03,0.03,0.03
0.60,0.04,0.06,0.03,0.02,0.03
0.65,0.04,0.06,0.02,0.01,0.02
0.70,0.04,0.06,0.02,0.01,0.02
0.75,0.03,0.04,0.01,0.0,0.01
0.80,0.02,0.03,0.01,0.0,0.01
test finished in 725.67 seconds
