,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.81,0.0,0.0
0.45,0.03,0.01,0.46,0.04,0.06
0.50,0.26,0.09,0.64,0.3,0.41
0.55,0.49,0.3,0.66,0.57,0.61
0.60,0.56,0.48,0.67,0.73,0.7
0.65,0.49,0.47,0.65,0.84,0.73
0.70,0.39,0.34,0.62,0.92,0.74
0.75,0.26,0.19,0.57,0.96,0.72
0.80,0.15,0.1,0.55,0.99,0.7
max
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.01,0.01
0.45,0.09,0.02,0.68,0.1,0.18
0.50,0.31,0.13,0.7,0.35,0.46
0.55,0.51,0.33,0.67,0.59,0.63
0.60,0.58,0.52,0.68,0.76,0.72
0.65,0.51,0.49,0.66,0.86,0.75
0.70,0.41,0.38,0.62,0.92,0.74
0.75,0.28,0.23,0.58,0.97,0.73
0.80,0.17,0.12,0.55,0.99,0.71
min
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.32,0.0,0.0
0.45,0.0,0.0,0.25,0.01,0.01
0.50,0.17,0.04,0.62,0.21,0.31
0.55,0.45,0.25,0.62,0.54,0.58
0.60,0.54,0.46,0.65,0.71,0.69
0.65,0.48,0.44,0.64,0.83,0.73
0.70,0.36,0.28,0.6,0.91,0.73
0.75,0.24,0.16,0.56,0.96,0.71
0.80,0.14,0.07,0.53,0.98,0.69
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.28,0.0,0.0
0.45,0.04,0.01,0.16,0.04,0.07
0.50,0.06,0.03,0.03,0.06,0.06
0.55,0.02,0.03,0.02,0.02,0.02
0.60,0.01,0.02,0.01,0.01,0.01
0.65,0.01,0.02,0.01,0.01,0.01
0.70,0.02,0.04,0.01,0.01,0.0
0.75,0.01,0.03,0.01,0.0,0.01
0.80,0.01,0.02,0.01,0.0,0.01
test finished in 468.77 seconds
