,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.03,0.01,0.51,0.17,0.25
0.75,0.33,0.13,0.6,0.66,0.62
0.80,0.25,0.26,0.58,0.96,0.73
0.85,0.11,0.1,0.54,0.99,0.69
0.90,0.03,0.02,0.52,1.0,0.68
0.95,0.01,0.0,0.51,1.0,0.67
max
0.70,0.04,0.01,0.54,0.2,0.29
0.75,0.43,0.24,0.64,0.75,0.69
0.80,0.26,0.29,0.59,0.97,0.73
0.85,0.13,0.14,0.55,1.0,0.7
0.90,0.04,0.03,0.53,1.0,0.69
0.95,0.01,0.0,0.52,1.0,0.68
min
0.70,0.02,0.0,0.49,0.14,0.22
0.75,0.24,0.06,0.57,0.55,0.56
0.80,0.23,0.23,0.57,0.96,0.72
0.85,0.09,0.08,0.53,0.99,0.69
0.90,0.01,0.01,0.51,0.99,0.67
0.95,0.0,0.0,0.5,0.99,0.67
std
0.70,0.01,0.0,0.02,0.02,0.03
0.75,0.06,0.06,0.02,0.07,0.04
0.80,0.01,0.02,0.01,0.01,0.0
0.85,0.01,0.02,0.01,0.0,0.01
0.90,0.01,0.01,0.01,0.01,0.01
0.95,0.0,0.0,0.01,0.0,0.0
test finished in 379.58 seconds
