 ,AMI,ARI,Completeness,Homogeneity,V-measure
mean,,,,,
0.4,0.36,0.22,0.5,0.53,0.52
0.45,0.35,0.24,0.52,0.61,0.56
0.5,0.33,0.24,0.53,0.69,0.6
0.55,0.32,0.23,0.55,0.77,0.64
0.6,0.3,0.21,0.56,0.84,0.67
max,,,,,
0.4,0.4,0.26,0.52,0.55,0.54
0.45,0.38,0.27,0.54,0.63,0.58
0.5,0.37,0.26,0.55,0.71,0.62
0.55,0.34,0.25,0.55,0.77,0.64
0.6,0.32,0.23,0.57,0.84,0.68
min,,,,,
0.4,0.33,0.17,0.48,0.51,0.5
0.45,0.32,0.21,0.5,0.6,0.54
0.5,0.3,0.23,0.52,0.68,0.59
0.55,0.3,0.2,0.54,0.76,0.63
0.6,0.29,0.19,0.55,0.83,0.66
std,,,,,
0.4,0.03,0.03,0.02,0.02,0.02
0.45,0.02,0.02,0.01,0.01,0.02
0.5,0.03,0.01,0.01,0.01,0.01
0.55,0.01,0.01,0,0,0.01
0.6,0.01,0.01,0.01,0,0.01
test finished in 457.60 seconds,,,,,
