,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.08,0.03,0.35,0.1,0.16
0.35,0.14,0.06,0.37,0.18,0.24
0.40,0.21,0.1,0.41,0.27,0.32
0.45,0.28,0.15,0.45,0.38,0.41
0.50,0.32,0.17,0.47,0.46,0.47
0.55,0.31,0.18,0.48,0.54,0.51
0.60,0.31,0.2,0.51,0.65,0.57
0.65,0.28,0.18,0.52,0.74,0.61
0.70,0.25,0.15,0.54,0.83,0.65
max
0.30,0.1,0.05,0.39,0.12,0.18
0.35,0.19,0.11,0.4,0.23,0.29
0.40,0.25,0.14,0.44,0.31,0.36
0.45,0.31,0.17,0.48,0.4,0.44
0.50,0.36,0.21,0.49,0.5,0.49
0.55,0.35,0.2,0.5,0.57,0.53
0.60,0.33,0.23,0.52,0.68,0.59
0.65,0.31,0.22,0.54,0.76,0.63
0.70,0.27,0.17,0.54,0.85,0.66
min
0.30,0.07,0.01,0.31,0.08,0.13
0.35,0.11,0.03,0.35,0.15,0.21
0.40,0.17,0.07,0.38,0.22,0.29
0.45,0.25,0.12,0.42,0.35,0.38
0.50,0.3,0.12,0.46,0.43,0.44
0.55,0.3,0.16,0.47,0.51,0.49
0.60,0.29,0.18,0.5,0.62,0.56
0.65,0.26,0.16,0.51,0.71,0.59
0.70,0.22,0.13,0.53,0.82,0.64
std
0.30,0.01,0.01,0.03,0.02,0.02
0.35,0.03,0.03,0.02,0.03,0.03
0.40,0.03,0.03,0.02,0.03,0.03
0.45,0.02,0.02,0.02,0.02,0.02
0.50,0.02,0.03,0.01,0.03,0.02
0.55,0.02,0.02,0.01,0.02,0.01
0.60,0.02,0.02,0.01,0.02,0.01
0.65,0.02,0.02,0.01,0.02,0.01
0.70,0.01,0.01,0.0,0.01,0.01
test finished in 565.70 seconds
