,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.19,0.08,0.42,0.22,0.29
0.35,0.27,0.14,0.47,0.33,0.39
0.40,0.34,0.2,0.5,0.44,0.46
0.45,0.39,0.23,0.52,0.52,0.52
0.50,0.38,0.25,0.53,0.6,0.57
0.55,0.36,0.26,0.55,0.68,0.61
0.60,0.35,0.25,0.56,0.76,0.64
0.65,0.31,0.2,0.56,0.83,0.67
0.70,0.27,0.16,0.57,0.9,0.69
max
0.30,0.2,0.09,0.47,0.23,0.31
0.35,0.31,0.18,0.52,0.37,0.43
0.40,0.37,0.24,0.54,0.47,0.5
0.45,0.42,0.27,0.55,0.55,0.55
0.50,0.41,0.29,0.57,0.63,0.6
0.55,0.4,0.29,0.58,0.71,0.64
0.60,0.39,0.3,0.59,0.78,0.68
0.65,0.34,0.23,0.59,0.84,0.69
0.70,0.29,0.17,0.58,0.91,0.71
min
0.30,0.15,0.07,0.38,0.18,0.25
0.35,0.23,0.11,0.44,0.29,0.35
0.40,0.32,0.14,0.47,0.42,0.44
0.45,0.36,0.18,0.5,0.5,0.51
0.50,0.34,0.2,0.5,0.58,0.54
0.55,0.33,0.22,0.53,0.67,0.59
0.60,0.32,0.22,0.54,0.74,0.63
0.65,0.29,0.16,0.55,0.82,0.66
0.70,0.25,0.13,0.55,0.89,0.68
std
0.30,0.02,0.01,0.03,0.02,0.02
0.35,0.03,0.03,0.03,0.03,0.03
0.40,0.02,0.03,0.02,0.02,0.02
0.45,0.02,0.04,0.02,0.02,0.02
0.50,0.03,0.03,0.02,0.02,0.02
0.55,0.02,0.03,0.02,0.01,0.02
0.60,0.02,0.03,0.02,0.01,0.02
0.65,0.02,0.02,0.01,0.01,0.01
0.70,0.01,0.02,0.01,0.01,0.01
test finished in 644.71 seconds
