,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.7,0.55,0.48,0.67,0.78,0.72
centroid-0.7,0.55,0.48,0.67,0.78,0.72
complete-0.85,0.22,0.22,0.57,0.98,0.72
single-0.55,0.38,0.26,0.54,0.62,0.58
max
average-0.7,0.6,0.54,0.69,0.79,0.73
centroid-0.7,0.6,0.54,0.69,0.79,0.73
complete-0.85,0.24,0.26,0.57,0.99,0.72
single-0.55,0.41,0.3,0.55,0.65,0.6
min
average-0.7,0.52,0.42,0.65,0.76,0.71
centroid-0.7,0.52,0.42,0.65,0.76,0.71
complete-0.85,0.2,0.2,0.56,0.98,0.71
single-0.55,0.32,0.2,0.5,0.59,0.54
std
average-0.7,0.03,0.04,0.01,0.01,0.01
centroid-0.7,0.03,0.04,0.01,0.01,0.01
complete-0.85,0.02,0.02,0.0,0.0,0.0
single-0.55,0.03,0.03,0.02,0.02,0.02
test finished in 200.54 seconds
