,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.05,0.01,0.56,0.06,0.11
0.60,0.29,0.11,0.66,0.34,0.45
0.65,0.54,0.34,0.69,0.62,0.65
0.70,0.56,0.49,0.67,0.78,0.72
0.75,0.45,0.41,0.64,0.9,0.75
0.80,0.28,0.2,0.58,0.97,0.73
0.85,0.12,0.06,0.53,0.99,0.69
0.90,0.03,0.01,0.51,0.99,0.68
0.95,0.0,0.0,0.5,1.0,0.67
max
0.55,0.1,0.02,0.75,0.11,0.19
0.60,0.35,0.14,0.73,0.39,0.51
0.65,0.58,0.39,0.71,0.64,0.67
0.70,0.59,0.55,0.69,0.8,0.74
0.75,0.48,0.46,0.65,0.91,0.76
0.80,0.31,0.24,0.6,0.98,0.74
0.85,0.14,0.08,0.54,1.0,0.7
0.90,0.04,0.02,0.52,1.0,0.68
0.95,0.01,0.0,0.51,1.0,0.68
min
0.55,0.0,0.0,0.26,0.0,0.0
0.60,0.21,0.05,0.63,0.25,0.36
0.65,0.49,0.23,0.67,0.56,0.61
0.70,0.54,0.44,0.65,0.74,0.69
0.75,0.42,0.36,0.62,0.88,0.73
0.80,0.26,0.16,0.57,0.96,0.72
0.85,0.11,0.05,0.52,0.99,0.68
0.90,0.02,0.01,0.5,0.99,0.67
0.95,0.0,0.0,0.49,0.99,0.66
std
0.55,0.04,0.01,0.15,0.04,0.07
0.60,0.04,0.03,0.04,0.05,0.05
0.65,0.03,0.05,0.01,0.03,0.02
0.70,0.02,0.04,0.01,0.02,0.02
0.75,0.02,0.03,0.01,0.01,0.01
0.80,0.01,0.02,0.01,0.01,0.01
0.85,0.01,0.01,0.01,0.0,0.01
0.90,0.01,0.0,0.01,0.0,0.0
0.95,0.0,0.0,0.01,0.0,0.01
test finished in 494.57 seconds
