,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.14,0.06,0.4,0.16,0.23
0.35,0.21,0.09,0.44,0.25,0.32
0.40,0.28,0.14,0.47,0.34,0.4
0.45,0.35,0.2,0.49,0.44,0.47
0.50,0.39,0.23,0.51,0.53,0.52
0.55,0.38,0.26,0.53,0.62,0.57
0.60,0.35,0.24,0.54,0.69,0.61
0.65,0.33,0.22,0.55,0.77,0.64
0.70,0.29,0.17,0.55,0.85,0.67
max
0.30,0.19,0.08,0.46,0.22,0.3
0.35,0.22,0.11,0.47,0.27,0.34
0.40,0.31,0.16,0.5,0.37,0.43
0.45,0.38,0.27,0.53,0.46,0.49
0.50,0.43,0.3,0.54,0.56,0.55
0.55,0.4,0.29,0.55,0.64,0.59
0.60,0.37,0.27,0.56,0.71,0.63
0.65,0.35,0.26,0.57,0.79,0.66
0.70,0.3,0.18,0.57,0.86,0.69
min
0.30,0.08,0.02,0.35,0.1,0.16
0.35,0.18,0.08,0.4,0.21,0.27
0.40,0.25,0.12,0.45,0.32,0.37
0.45,0.31,0.17,0.47,0.41,0.44
0.50,0.36,0.2,0.49,0.51,0.5
0.55,0.35,0.21,0.51,0.6,0.55
0.60,0.33,0.2,0.53,0.69,0.6
0.65,0.31,0.18,0.54,0.76,0.63
0.70,0.28,0.16,0.54,0.84,0.66
std
0.30,0.04,0.02,0.04,0.04,0.05
0.35,0.01,0.01,0.02,0.02,0.02
0.40,0.02,0.01,0.02,0.02,0.02
0.45,0.02,0.03,0.02,0.02,0.02
0.50,0.02,0.03,0.02,0.02,0.02
0.55,0.01,0.03,0.01,0.01,0.01
0.60,0.01,0.02,0.01,0.01,0.01
0.65,0.01,0.03,0.01,0.01,0.01
0.70,0.01,0.01,0.01,0.01,0.01
test finished in 844.09 seconds
