,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,0.75,0.0,0.0
0.65,0.0,0.0,0.5,0.0,0.0
0.70,0.0,0.0,0.45,0.01,0.01
0.75,0.0,0.0,0.47,0.04,0.07
0.80,0.05,0.01,0.51,0.22,0.31
0.85,0.28,0.31,0.58,0.95,0.72
0.90,0.05,0.03,0.51,0.99,0.68
max
0.60,-0.0,-0.0,1.0,0.0,0.0
0.65,-0.0,-0.0,1.0,0.0,0.0
0.70,0.0,-0.0,0.52,0.01,0.02
0.75,0.01,-0.0,0.48,0.06,0.11
0.80,0.1,0.02,0.55,0.28,0.37
0.85,0.32,0.37,0.6,0.97,0.74
0.90,0.07,0.07,0.52,1.0,0.68
min
0.60,-0.0,-0.0,0.39,0.0,0.0
0.65,-0.0,-0.0,0.36,0.0,0.0
0.70,0.0,-0.0,0.4,0.0,0.01
0.75,0.0,-0.0,0.45,0.03,0.05
0.80,0.03,0.0,0.49,0.18,0.27
0.85,0.24,0.2,0.56,0.88,0.68
0.90,0.04,0.02,0.51,0.99,0.67
std
0.60,0.0,0.0,0.29,0.0,0.0
0.65,0.0,0.0,0.21,0.0,0.0
0.70,0.0,0.0,0.04,0.0,0.0
0.75,0.0,0.0,0.01,0.01,0.02
0.80,0.02,0.01,0.02,0.03,0.03
0.85,0.02,0.05,0.01,0.03,0.02
0.90,0.01,0.02,0.0,0.0,0.0
test finished in 585.78 seconds
