,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.0,0.0,0.51,0.0,0.01
0.60,0.09,0.02,0.57,0.12,0.19
0.65,0.3,0.11,0.67,0.36,0.46
0.70,0.55,0.36,0.67,0.63,0.65
0.75,0.51,0.44,0.65,0.79,0.71
0.80,0.36,0.27,0.6,0.91,0.72
0.85,0.17,0.09,0.55,0.98,0.7
max
0.55,0.0,0.0,1.0,0.01,0.02
0.60,0.16,0.06,0.65,0.19,0.29
0.65,0.36,0.17,0.7,0.41,0.51
0.70,0.59,0.41,0.7,0.68,0.67
0.75,0.52,0.49,0.66,0.81,0.72
0.80,0.37,0.31,0.61,0.92,0.73
0.85,0.19,0.12,0.56,0.99,0.71
min
0.55,0.0,0.0,0.23,-0.0,-0.0
0.60,0.02,0.0,0.46,0.03,0.06
0.65,0.26,0.07,0.65,0.31,0.42
0.70,0.48,0.29,0.65,0.57,0.61
0.75,0.47,0.38,0.62,0.77,0.69
0.80,0.35,0.26,0.59,0.91,0.72
0.85,0.15,0.07,0.54,0.98,0.69
std
0.55,0.0,0.0,0.32,0.0,0.01
0.60,0.05,0.02,0.06,0.05,0.07
0.65,0.04,0.03,0.02,0.04,0.03
0.70,0.03,0.04,0.01,0.03,0.02
0.75,0.02,0.04,0.01,0.01,0.01
0.80,0.01,0.02,0.01,0.0,0.0
0.85,0.01,0.01,0.01,0.0,0.01
test finished in 2140.10 seconds
