,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.55,0.45,0.42,0.61,0.78,0.69
average-0.6,0.39,0.37,0.61,0.87,0.71
centroid-0.55,0.45,0.42,0.61,0.78,0.69
centroid-0.6,0.39,0.37,0.61,0.87,0.71
complete-0.75,0.23,0.23,0.57,0.96,0.71
single-0.35,0.31,0.2,0.49,0.58,0.53
max
average-0.55,0.46,0.45,0.62,0.81,0.7
average-0.6,0.41,0.42,0.62,0.89,0.73
centroid-0.55,0.46,0.45,0.62,0.81,0.7
centroid-0.6,0.41,0.42,0.62,0.89,0.73
complete-0.75,0.24,0.27,0.58,0.98,0.73
single-0.35,0.32,0.22,0.5,0.59,0.54
min
average-0.55,0.42,0.39,0.6,0.77,0.67
average-0.6,0.38,0.33,0.59,0.86,0.7
centroid-0.55,0.42,0.39,0.6,0.77,0.67
centroid-0.6,0.38,0.33,0.59,0.86,0.7
complete-0.75,0.2,0.18,0.55,0.94,0.7
single-0.35,0.29,0.18,0.47,0.57,0.51
std
average-0.55,0.01,0.02,0.01,0.02,0.01
average-0.6,0.01,0.03,0.01,0.01,0.01
centroid-0.55,0.01,0.02,0.01,0.02,0.01
centroid-0.6,0.01,0.03,0.01,0.01,0.01
complete-0.75,0.01,0.03,0.01,0.01,0.01
single-0.35,0.01,0.01,0.01,0.01,0.01
test finished in 435.11 seconds
