,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.5,0.34,0.26,0.69,0.75,0.72
average-0.55,0.29,0.28,0.71,0.87,0.78
centroid-0.5,0.34,0.26,0.69,0.75,0.72
centroid-0.55,0.29,0.28,0.71,0.87,0.78
complete-0.65,0.24,0.24,0.7,0.92,0.8
single-0.5,0.22,0.2,0.67,0.83,0.75
max
average-0.5,0.36,0.27,0.7,0.79,0.74
average-0.55,0.34,0.33,0.72,0.9,0.79
centroid-0.5,0.36,0.27,0.7,0.79,0.74
centroid-0.55,0.34,0.33,0.72,0.9,0.79
complete-0.65,0.27,0.27,0.72,0.94,0.82
single-0.5,0.24,0.23,0.69,0.85,0.75
min
average-0.5,0.32,0.24,0.67,0.71,0.7
average-0.55,0.27,0.25,0.69,0.86,0.77
centroid-0.5,0.32,0.24,0.67,0.71,0.7
centroid-0.55,0.27,0.25,0.69,0.86,0.77
complete-0.65,0.2,0.2,0.68,0.88,0.78
single-0.5,0.19,0.16,0.65,0.82,0.74
std
average-0.5,0.01,0.01,0.01,0.02,0.01
average-0.55,0.02,0.03,0.01,0.01,0.01
centroid-0.5,0.01,0.01,0.01,0.02,0.01
centroid-0.55,0.02,0.03,0.01,0.01,0.01
complete-0.65,0.03,0.03,0.02,0.02,0.01
single-0.5,0.02,0.03,0.01,0.01,0.01
test finished in 225.73 seconds
