,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.10,0.0,0.0,1.0,0.0,0.0
0.15,0.04,0.01,0.41,0.07,0.12
0.20,0.11,0.04,0.47,0.23,0.31
0.25,0.15,0.08,0.52,0.35,0.42
0.30,0.18,0.11,0.57,0.46,0.51
0.35,0.23,0.15,0.61,0.57,0.59
0.40,0.23,0.18,0.63,0.66,0.65
0.45,0.25,0.22,0.66,0.77,0.71
0.50,0.26,0.24,0.68,0.84,0.75
0.55,0.25,0.24,0.69,0.91,0.79
max
0.10,0.0,0.0,1.0,0.0,0.0
0.15,0.06,0.02,0.44,0.08,0.14
0.20,0.11,0.05,0.5,0.25,0.33
0.25,0.17,0.1,0.55,0.38,0.45
0.30,0.22,0.14,0.6,0.49,0.53
0.35,0.3,0.22,0.65,0.61,0.63
0.40,0.3,0.24,0.66,0.71,0.69
0.45,0.3,0.28,0.69,0.8,0.74
0.50,0.28,0.29,0.7,0.85,0.76
0.55,0.28,0.27,0.71,0.92,0.8
min
0.10,0.0,0.0,1.0,0.0,0.0
0.15,0.03,0.01,0.37,0.06,0.11
0.20,0.1,0.04,0.44,0.22,0.3
0.25,0.13,0.07,0.49,0.34,0.4
0.30,0.14,0.08,0.52,0.42,0.47
0.35,0.2,0.12,0.58,0.56,0.57
0.40,0.18,0.13,0.61,0.63,0.62
0.45,0.22,0.19,0.64,0.74,0.69
0.50,0.24,0.2,0.67,0.83,0.74
0.55,0.21,0.18,0.67,0.88,0.76
std
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.01,0.0,0.03,0.01,0.01
0.20,0.0,0.01,0.02,0.01,0.01
0.25,0.02,0.01,0.03,0.02,0.02
0.30,0.03,0.02,0.03,0.03,0.02
0.35,0.04,0.04,0.03,0.02,0.02
0.40,0.04,0.04,0.02,0.03,0.03
0.45,0.03,0.04,0.02,0.02,0.02
0.50,0.01,0.03,0.01,0.01,0.01
0.55,0.03,0.04,0.02,0.02,0.02
test finished in 316.29 seconds
