,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,0.92,0.0,0.0
0.40,0.19,0.06,0.56,0.23,0.32
0.45,0.4,0.22,0.57,0.49,0.53
0.50,0.48,0.34,0.6,0.65,0.63
0.55,0.43,0.39,0.6,0.77,0.68
0.60,0.38,0.35,0.6,0.86,0.71
0.65,0.3,0.26,0.58,0.93,0.72
0.70,0.2,0.13,0.55,0.97,0.7
max
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.01,0.02
0.40,0.23,0.09,0.59,0.26,0.35
0.45,0.43,0.25,0.6,0.51,0.54
0.50,0.51,0.36,0.62,0.66,0.64
0.55,0.46,0.41,0.62,0.79,0.69
0.60,0.41,0.38,0.61,0.87,0.72
0.65,0.34,0.31,0.6,0.93,0.73
0.70,0.22,0.15,0.56,0.97,0.71
min
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,0.61,-0.0,-0.0
0.40,0.16,0.04,0.49,0.19,0.27
0.45,0.37,0.18,0.55,0.46,0.5
0.50,0.42,0.33,0.56,0.64,0.6
0.55,0.39,0.34,0.58,0.76,0.66
0.60,0.33,0.29,0.58,0.85,0.69
0.65,0.26,0.2,0.57,0.92,0.71
0.70,0.17,0.11,0.55,0.96,0.7
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.16,0.0,0.01
0.40,0.02,0.02,0.04,0.02,0.03
0.45,0.02,0.02,0.02,0.02,0.02
0.50,0.03,0.01,0.02,0.01,0.01
0.55,0.02,0.03,0.01,0.01,0.01
0.60,0.03,0.04,0.01,0.01,0.01
0.65,0.03,0.04,0.01,0.0,0.01
0.70,0.02,0.02,0.0,0.0,0.0
test finished in 1129.13 seconds
