,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.19,0.0,0.0
0.50,0.06,0.01,0.4,0.08,0.13
0.60,0.49,0.29,0.56,0.58,0.57
0.70,0.34,0.23,0.5,0.84,0.63
0.80,0.14,0.06,0.45,0.97,0.61
0.90,0.02,0.0,0.42,1.0,0.59
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,-0.0,-0.0,0.24,0.0,0.0
0.50,0.11,0.02,0.46,0.13,0.2
0.60,0.52,0.36,0.57,0.64,0.6
0.70,0.36,0.25,0.51,0.85,0.64
0.80,0.14,0.07,0.45,0.98,0.61
0.90,0.02,0.0,0.42,1.0,0.59
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,-0.0,-0.0,0.16,0.0,0.0
0.50,0.02,0.0,0.3,0.04,0.07
0.60,0.43,0.2,0.53,0.5,0.52
0.70,0.33,0.21,0.5,0.83,0.62
0.80,0.13,0.05,0.45,0.97,0.61
0.90,0.02,0.0,0.41,0.99,0.58
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.04,0.0,0.0
0.50,0.04,0.01,0.07,0.04,0.05
0.60,0.04,0.07,0.02,0.06,0.03
0.70,0.01,0.02,0.0,0.01,0.01
0.80,0.0,0.01,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 24751.73 seconds
