,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.32,0.0,0.0
0.60,0.0,0.0,0.35,0.01,0.01
0.70,0.02,0.0,0.41,0.09,0.15
0.80,0.24,0.16,0.49,0.72,0.58
0.90,0.03,0.01,0.42,0.99,0.59
max
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.50,-0.0,-0.0,0.37,0.0,0.0
0.60,0.0,0.0,0.41,0.01,0.02
0.70,0.03,0.0,0.43,0.1,0.17
0.80,0.28,0.21,0.51,0.77,0.61
0.90,0.04,0.02,0.43,0.99,0.6
min
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.50,-0.0,-0.0,0.29,0.0,0.0
0.60,0.0,0.0,0.31,0.01,0.01
0.70,0.01,0.0,0.4,0.09,0.14
0.80,0.18,0.06,0.45,0.63,0.52
0.90,0.03,0.01,0.42,0.99,0.59
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.03,0.0,0.0
0.60,0.0,0.0,0.04,0.0,0.0
0.70,0.01,0.0,0.01,0.0,0.01
0.80,0.04,0.07,0.03,0.06,0.04
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 10521.44 seconds
