,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.97,0.0,0.0
0.55,0.0,0.0,0.74,0.0,0.0
0.60,0.0,0.0,0.31,0.0,0.01
0.65,0.0,0.0,0.36,0.01,0.02
0.70,0.01,0.0,0.37,0.05,0.09
0.75,0.05,0.01,0.4,0.19,0.26
0.80,0.27,0.19,0.5,0.76,0.6
max
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.45,-0.0,0.0,1.0,-0.0,-0.0
0.50,-0.0,0.0,1.0,-0.0,-0.0
0.55,-0.0,0.0,1.0,-0.0,0.01
0.60,0.0,0.0,0.55,0.01,0.01
0.65,0.01,0.0,0.49,0.02,0.04
0.70,0.02,0.0,0.48,0.07,0.11
0.75,0.11,0.03,0.47,0.24,0.32
0.80,0.34,0.33,0.54,0.87,0.65
min
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.45,-0.0,0.0,1.0,-0.0,-0.0
0.50,-0.0,0.0,0.17,-0.0,-0.0
0.55,-0.0,0.0,0.15,-0.0,-0.0
0.60,0.0,0.0,0.16,0.0,0.0
0.65,0.0,0.0,0.29,0.01,0.02
0.70,0.0,0.0,0.32,0.04,0.07
0.75,0.02,0.0,0.36,0.16,0.22
0.80,0.19,0.1,0.47,0.69,0.56
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.16,0.0,0.0
0.55,0.0,0.0,0.35,0.0,0.0
0.60,0.0,0.0,0.09,0.0,0.0
0.65,0.0,0.0,0.05,0.0,0.01
0.70,0.01,0.0,0.04,0.01,0.01
0.75,0.02,0.01,0.02,0.02,0.02
0.80,0.03,0.06,0.02,0.04,0.02
test finished in 17086.18 seconds
