,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.55,0.0,0.0,1.0,0.0,0.0
0.60,0.0,0.0,0.47,0.0,0.01
0.65,0.0,0.0,0.49,0.02,0.03
0.70,0.01,0.0,0.48,0.1,0.16
0.75,0.23,0.07,0.54,0.55,0.55
0.80,0.18,0.2,0.55,0.97,0.7
max
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.45,-0.0,0.0,1.0,-0.0,-0.0
0.50,-0.0,0.0,1.0,-0.0,-0.0
0.55,-0.0,0.0,1.0,-0.0,-0.0
0.60,0.0,0.0,0.54,0.01,0.01
0.65,0.0,0.0,0.53,0.02,0.05
0.70,0.01,0.0,0.49,0.11,0.18
0.75,0.28,0.11,0.56,0.61,0.59
0.80,0.2,0.23,0.56,0.97,0.71
min
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.45,-0.0,0.0,1.0,-0.0,-0.0
0.50,-0.0,0.0,1.0,-0.0,-0.0
0.55,-0.0,0.0,1.0,-0.0,-0.0
0.60,0.0,0.0,0.42,0.0,0.01
0.65,0.0,0.0,0.46,0.01,0.02
0.70,0.01,0.0,0.48,0.09,0.15
0.75,0.13,0.02,0.52,0.46,0.49
0.80,0.17,0.16,0.55,0.96,0.7
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.05,0.0,0.0
0.65,0.0,0.0,0.03,0.0,0.01
0.70,0.0,0.0,0.0,0.01,0.01
0.75,0.07,0.04,0.02,0.06,0.04
0.80,0.01,0.03,0.0,0.0,0.0
test finished in 10934.51 seconds
