,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.25,0.11,0.37,0.27,0.31
0.40,0.38,0.21,0.44,0.49,0.47
0.50,0.37,0.2,0.46,0.64,0.54
0.60,0.32,0.14,0.47,0.77,0.58
0.70,0.25,0.08,0.47,0.88,0.61
0.80,0.11,0.02,0.44,0.98,0.61
0.90,0.02,0.0,0.42,1.0,0.59
max
0.30,0.28,0.12,0.42,0.3,0.35
0.40,0.39,0.23,0.44,0.5,0.47
0.50,0.38,0.21,0.47,0.65,0.54
0.60,0.33,0.14,0.48,0.77,0.59
0.70,0.25,0.08,0.47,0.88,0.61
0.80,0.11,0.03,0.45,0.98,0.61
0.90,0.02,0.0,0.42,1.0,0.59
min
0.30,0.23,0.11,0.33,0.25,0.29
0.40,0.38,0.2,0.44,0.47,0.46
0.50,0.36,0.2,0.46,0.62,0.53
0.60,0.32,0.13,0.47,0.77,0.58
0.70,0.24,0.07,0.46,0.88,0.61
0.80,0.1,0.02,0.44,0.97,0.61
0.90,0.01,0.0,0.42,1.0,0.59
std
0.30,0.02,0.0,0.04,0.02,0.03
0.40,0.0,0.01,0.0,0.01,0.0
0.50,0.01,0.0,0.0,0.01,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 14107.23 seconds
