,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
article with keyword extraction average 0.45 cosine False,0.01,0.0,0.47,0.02,0.03,149.2
article with keyword extraction average 0.65 cosine True,0.43,0.38,0.61,0.77,0.68,28.03
article with keyword extraction average 0.65 dot True,0.44,0.39,0.61,0.78,0.68,17.88
tf whole article single 0.2 cosine False,0.29,0.15,0.53,0.73,0.61,910.65
tfidf whole article average 0.1 cosine False,0.53,0.49,0.68,0.89,0.77,990.49
whole article single 0.75 cosine False,0.43,0.28,0.59,0.73,0.66,68.73
max
article with keyword extraction average 0.45 cosine False,0.02,0.0,0.67,0.03,0.06,218.31
article with keyword extraction average 0.65 cosine True,0.48,0.42,0.62,0.8,0.7,40.34
article with keyword extraction average 0.65 dot True,0.47,0.42,0.62,0.8,0.7,23.49
tf whole article single 0.2 cosine False,0.3,0.18,0.55,0.76,0.64,1954.82
tfidf whole article average 0.1 cosine False,0.58,0.56,0.71,0.91,0.8,1749.75
whole article single 0.75 cosine False,0.46,0.32,0.62,0.77,0.68,90.6
min
article with keyword extraction average 0.45 cosine False,0.0,0.0,0.22,0.0,0.0,95.9
article with keyword extraction average 0.65 cosine True,0.39,0.32,0.58,0.74,0.65,18.49
article with keyword extraction average 0.65 dot True,0.42,0.35,0.59,0.75,0.66,12.57
tf whole article single 0.2 cosine False,0.25,0.12,0.5,0.7,0.58,302.49
tfidf whole article average 0.1 cosine False,0.46,0.38,0.64,0.87,0.74,301.81
whole article single 0.75 cosine False,0.38,0.22,0.56,0.69,0.62,40.22
std
article with keyword extraction average 0.45 cosine False,0.01,0.0,0.14,0.01,0.02,36.33
article with keyword extraction average 0.65 cosine True,0.03,0.03,0.01,0.02,0.01,6.1
article with keyword extraction average 0.65 dot True,0.02,0.03,0.01,0.01,0.01,3.25
tf whole article single 0.2 cosine False,0.02,0.02,0.02,0.02,0.02,407.78
tfidf whole article average 0.1 cosine False,0.03,0.05,0.02,0.01,0.02,431.06
whole article single 0.75 cosine False,0.03,0.03,0.02,0.02,0.02,12.95
test finished in 21684.72 seconds
