,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
method0 k=10 centroid 0.6,0.49,0.27,0.61,0.6,0.61,21.95
method0 k=10 centroid 0.65,0.44,0.38,0.61,0.76,0.68,24.42
method1 k=10 centroid 0.6,0.55,0.35,0.65,0.66,0.66,13.35
method1 k=15 centroid 0.7,0.49,0.43,0.64,0.79,0.71,10.85
method1 k=5 centroid 0.55,0.45,0.42,0.62,0.79,0.69,12.0
max
method0 k=10 centroid 0.6,0.5,0.28,0.63,0.61,0.61,23.54
method0 k=10 centroid 0.65,0.45,0.42,0.62,0.79,0.69,28.76
method1 k=10 centroid 0.6,0.58,0.41,0.67,0.69,0.68,16.77
method1 k=15 centroid 0.7,0.5,0.46,0.65,0.8,0.72,13.84
method1 k=5 centroid 0.55,0.46,0.44,0.63,0.79,0.7,15.37
min
method0 k=10 centroid 0.6,0.47,0.25,0.59,0.6,0.6,19.0
method0 k=10 centroid 0.65,0.44,0.35,0.6,0.75,0.67,18.9
method1 k=10 centroid 0.6,0.54,0.31,0.64,0.63,0.64,10.26
method1 k=15 centroid 0.7,0.47,0.4,0.63,0.78,0.7,9.3
method1 k=5 centroid 0.55,0.44,0.4,0.61,0.78,0.69,9.48
std
method0 k=10 centroid 0.6,0.01,0.01,0.02,0.0,0.0,2.08
method0 k=10 centroid 0.65,0.0,0.03,0.01,0.02,0.01,4.11
method1 k=10 centroid 0.6,0.02,0.04,0.01,0.02,0.02,2.67
method1 k=15 centroid 0.7,0.01,0.02,0.01,0.01,0.01,2.12
method1 k=5 centroid 0.55,0.01,0.02,0.01,0.0,0.0,2.48
test finished in 355.90 seconds
