,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.3,0.2,0.07,0.66,0.73,0.69
centroid-0.55,0.03,0.01,0.63,0.84,0.72
complete-0.45,0.06,0.02,0.63,0.72,0.67
single-0.2,0.29,0.19,0.67,0.71,0.69
max
average-0.3,0.26,0.1,0.68,0.74,0.71
centroid-0.55,0.05,0.02,0.64,0.86,0.73
complete-0.45,0.08,0.03,0.64,0.76,0.68
single-0.2,0.39,0.33,0.71,0.77,0.74
min
average-0.3,0.15,0.04,0.64,0.71,0.68
centroid-0.55,0.01,0.01,0.62,0.8,0.71
complete-0.45,0.03,0.01,0.62,0.65,0.64
single-0.2,0.23,0.12,0.64,0.68,0.66
std
average-0.3,0.04,0.02,0.02,0.01,0.01
centroid-0.55,0.01,0.0,0.01,0.02,0.01
complete-0.45,0.02,0.01,0.01,0.04,0.02
single-0.2,0.05,0.08,0.03,0.03,0.03
test finished in 540.33 seconds
