,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.0,0.0,0.79,0.01,0.02
0.10,0.01,0.0,0.58,0.07,0.11
0.15,0.05,0.01,0.62,0.21,0.32
0.20,0.16,0.04,0.65,0.46,0.54
0.25,0.22,0.06,0.67,0.62,0.64
0.30,0.22,0.09,0.67,0.73,0.7
0.35,0.14,0.08,0.66,0.82,0.73
0.40,0.11,0.07,0.65,0.87,0.75
0.45,0.06,0.05,0.65,0.93,0.76
max
0.05,0.0,0.0,1.0,0.02,0.03
0.10,0.01,0.0,0.62,0.07,0.12
0.15,0.1,0.02,0.68,0.27,0.39
0.20,0.21,0.05,0.68,0.51,0.58
0.25,0.26,0.07,0.7,0.67,0.68
0.30,0.25,0.12,0.7,0.8,0.75
0.35,0.16,0.1,0.68,0.85,0.75
0.40,0.11,0.09,0.67,0.9,0.77
0.45,0.07,0.07,0.67,0.94,0.78
min
0.05,0.0,0.0,0.6,0.01,0.02
0.10,0.0,0.0,0.54,0.06,0.1
0.15,0.03,0.0,0.58,0.16,0.25
0.20,0.09,0.02,0.6,0.36,0.45
0.25,0.19,0.05,0.65,0.56,0.6
0.30,0.19,0.07,0.65,0.66,0.65
0.35,0.13,0.07,0.64,0.77,0.7
0.40,0.1,0.05,0.64,0.82,0.72
0.45,0.05,0.03,0.64,0.9,0.74
std
0.05,0.0,0.0,0.16,0.0,0.0
0.10,0.0,0.0,0.03,0.0,0.01
0.15,0.03,0.01,0.04,0.04,0.06
0.20,0.05,0.01,0.04,0.07,0.06
0.25,0.03,0.01,0.02,0.04,0.03
0.30,0.02,0.02,0.02,0.06,0.04
0.35,0.01,0.01,0.02,0.03,0.02
0.40,0.0,0.02,0.01,0.03,0.02
0.45,0.01,0.02,0.01,0.02,0.02
test finished in 1895.11 seconds
