,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.02,0.0,0.6,0.2,0.3
0.35,0.03,0.01,0.6,0.35,0.44
0.40,0.06,0.01,0.61,0.5,0.55
0.45,0.04,0.01,0.61,0.61,0.61
0.50,0.04,0.02,0.62,0.71,0.66
0.55,0.05,0.03,0.63,0.81,0.71
0.60,0.02,0.02,0.63,0.88,0.74
0.65,0.01,0.01,0.64,0.94,0.76
max
0.30,0.03,-0.0,0.63,0.23,0.34
0.35,0.06,0.01,0.62,0.41,0.49
0.40,0.06,0.02,0.62,0.51,0.56
0.45,0.07,0.02,0.63,0.63,0.63
0.50,0.06,0.03,0.63,0.77,0.68
0.55,0.08,0.05,0.65,0.81,0.72
0.60,0.03,0.03,0.65,0.91,0.76
0.65,0.03,0.03,0.65,0.97,0.78
min
0.30,-0.01,-0.0,0.55,0.13,0.21
0.35,0.0,0.0,0.58,0.26,0.36
0.40,0.05,0.01,0.6,0.49,0.55
0.45,0.01,-0.0,0.59,0.59,0.6
0.50,0.02,0.0,0.61,0.67,0.65
0.55,0.01,0.0,0.61,0.8,0.7
0.60,-0.0,-0.0,0.61,0.85,0.72
0.65,-0.0,-0.0,0.62,0.91,0.74
std
0.30,0.02,0.0,0.03,0.05,0.06
0.35,0.02,0.0,0.02,0.06,0.06
0.40,0.0,0.0,0.01,0.01,0.0
0.45,0.02,0.01,0.02,0.02,0.01
0.50,0.02,0.01,0.01,0.04,0.01
0.55,0.03,0.02,0.02,0.0,0.01
0.60,0.01,0.01,0.02,0.02,0.02
0.65,0.01,0.01,0.01,0.02,0.02
test finished in 559.09 seconds
