,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.17,0.07,0.59,0.35,0.44
0.10,0.27,0.15,0.65,0.55,0.6
0.15,0.33,0.19,0.67,0.65,0.66
0.20,0.32,0.2,0.68,0.73,0.7
0.25,0.27,0.21,0.68,0.81,0.74
0.30,0.21,0.16,0.67,0.85,0.75
0.35,0.17,0.14,0.67,0.9,0.77
0.40,0.11,0.1,0.67,0.94,0.77
0.45,0.06,0.05,0.66,0.95,0.77
max
0.05,0.18,0.07,0.62,0.39,0.48
0.10,0.3,0.19,0.67,0.57,0.61
0.15,0.39,0.24,0.71,0.69,0.7
0.20,0.35,0.22,0.69,0.74,0.7
0.25,0.28,0.22,0.69,0.83,0.75
0.30,0.22,0.19,0.68,0.88,0.77
0.35,0.17,0.15,0.68,0.93,0.78
0.40,0.12,0.11,0.67,0.96,0.78
0.45,0.06,0.05,0.66,0.97,0.78
min
0.05,0.15,0.06,0.56,0.31,0.4
0.10,0.25,0.13,0.64,0.53,0.58
0.15,0.3,0.16,0.65,0.63,0.64
0.20,0.3,0.18,0.67,0.71,0.7
0.25,0.26,0.19,0.67,0.78,0.72
0.30,0.2,0.14,0.66,0.82,0.73
0.35,0.16,0.13,0.66,0.86,0.75
0.40,0.1,0.09,0.66,0.91,0.76
0.45,0.06,0.05,0.65,0.92,0.76
std
0.05,0.01,0.0,0.02,0.03,0.03
0.10,0.02,0.03,0.01,0.02,0.01
0.15,0.04,0.04,0.03,0.03,0.03
0.20,0.02,0.02,0.01,0.01,0.0
0.25,0.01,0.01,0.01,0.02,0.01
0.30,0.01,0.02,0.01,0.02,0.02
0.35,0.0,0.01,0.01,0.03,0.01
0.40,0.01,0.01,0.0,0.02,0.01
0.45,0.0,0.0,0.0,0.02,0.01
test finished in 1183.90 seconds
