,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.0,0.0,1.0,0.01,0.01
0.10,0.02,0.0,0.69,0.08,0.13
0.15,0.23,0.07,0.72,0.55,0.63
0.20,0.34,0.3,0.73,0.9,0.81
0.25,0.17,0.22,0.69,0.99,0.81
0.30,0.1,0.13,0.67,1.0,0.8
0.35,0.05,0.06,0.66,1.0,0.79
0.40,0.04,0.04,0.66,1.0,0.79
0.45,0.02,0.03,0.65,1.0,0.79
max
0.05,0.0,0.0,1.0,0.01,0.02
0.10,0.03,0.01,0.76,0.13,0.22
0.15,0.31,0.11,0.78,0.63,0.69
0.20,0.4,0.37,0.76,0.95,0.82
0.25,0.22,0.3,0.72,1.0,0.83
0.30,0.12,0.16,0.69,1.0,0.81
0.35,0.07,0.08,0.67,1.0,0.8
0.40,0.05,0.06,0.67,1.0,0.8
0.45,0.03,0.04,0.67,1.0,0.8
min
0.05,0.0,0.0,1.0,0.0,0.0
0.10,0.01,0.0,0.64,0.04,0.08
0.15,0.16,0.04,0.68,0.49,0.57
0.20,0.31,0.21,0.71,0.82,0.79
0.25,0.14,0.16,0.67,0.97,0.79
0.30,0.06,0.07,0.65,0.99,0.79
0.35,0.03,0.04,0.65,0.99,0.78
0.40,0.03,0.02,0.65,1.0,0.78
0.45,0.02,0.02,0.64,1.0,0.78
std
0.05,0.0,0.0,0.0,0.0,0.01
0.10,0.01,0.0,0.05,0.04,0.06
0.15,0.06,0.03,0.04,0.06,0.05
0.20,0.04,0.07,0.02,0.06,0.01
0.25,0.03,0.06,0.02,0.01,0.02
0.30,0.03,0.04,0.02,0.0,0.01
0.35,0.02,0.02,0.01,0.0,0.01
0.40,0.01,0.02,0.01,0.0,0.01
0.45,0.0,0.01,0.01,0.0,0.01
test finished in 257.74 seconds
