,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.0,0.0,0.84,0.0,0.01
0.10,0.0,0.0,0.6,0.05,0.09
0.15,0.03,0.01,0.64,0.24,0.35
0.20,0.13,0.03,0.67,0.53,0.59
0.25,0.2,0.17,0.69,0.88,0.77
0.30,0.12,0.15,0.68,0.98,0.8
0.35,0.05,0.05,0.67,1.0,0.8
0.40,0.03,0.03,0.66,1.0,0.8
0.45,0.02,0.02,0.66,1.0,0.8
max
0.05,0.0,0.0,1.0,0.01,0.02
0.10,0.01,0.0,0.66,0.06,0.11
0.15,0.05,0.01,0.65,0.3,0.41
0.20,0.14,0.03,0.69,0.56,0.6
0.25,0.24,0.23,0.71,0.92,0.79
0.30,0.15,0.19,0.68,0.99,0.81
0.35,0.06,0.07,0.68,1.0,0.81
0.40,0.03,0.04,0.67,1.0,0.8
0.45,0.02,0.03,0.67,1.0,0.8
min
0.05,0.0,0.0,0.51,0.0,0.0
0.10,-0.0,0.0,0.52,0.04,0.08
0.15,0.02,0.0,0.63,0.17,0.27
0.20,0.11,0.03,0.66,0.49,0.57
0.25,0.15,0.09,0.67,0.84,0.75
0.30,0.1,0.12,0.68,0.96,0.8
0.35,0.04,0.04,0.65,1.0,0.79
0.40,0.03,0.03,0.65,1.0,0.79
0.45,0.02,0.01,0.65,1.0,0.79
std
0.05,0.0,0.0,0.23,0.0,0.01
0.10,0.0,0.0,0.06,0.01,0.01
0.15,0.01,0.0,0.01,0.05,0.06
0.20,0.01,0.0,0.01,0.03,0.01
0.25,0.04,0.06,0.02,0.03,0.02
0.30,0.02,0.03,0.0,0.01,0.0
0.35,0.01,0.01,0.01,0.0,0.01
0.40,0.0,0.0,0.01,0.0,0.0
0.45,0.0,0.01,0.01,0.0,0.0
test finished in 106.53 seconds
