,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.05,0.77,0.7,0.82,0.85,0.84
centroid-0.05,0.79,0.65,0.92,0.82,0.87
complete-0.3,0.45,0.41,0.65,0.92,0.76
single-0.05,0.6,0.53,0.72,0.91,0.8
max
average-0.05,0.8,0.76,0.85,0.88,0.85
centroid-0.05,0.88,0.79,0.95,0.9,0.91
complete-0.3,0.5,0.55,0.69,0.96,0.8
single-0.05,0.64,0.61,0.75,0.92,0.82
min
average-0.05,0.74,0.65,0.8,0.83,0.81
centroid-0.05,0.71,0.51,0.9,0.75,0.82
complete-0.3,0.41,0.32,0.63,0.89,0.74
single-0.05,0.57,0.46,0.7,0.89,0.78
std
average-0.05,0.02,0.04,0.02,0.02,0.01
centroid-0.05,0.07,0.11,0.02,0.06,0.04
complete-0.3,0.03,0.09,0.02,0.03,0.02
single-0.05,0.03,0.05,0.02,0.01,0.01
test finished in 2095.55 seconds
