,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.81,0.73,0.85,0.87,0.86
0.10,0.71,0.71,0.79,0.93,0.85
0.15,0.62,0.63,0.74,0.95,0.83
0.20,0.53,0.53,0.69,0.98,0.81
0.25,0.45,0.43,0.66,0.99,0.79
0.30,0.39,0.35,0.63,0.99,0.77
0.35,0.34,0.28,0.61,1.0,0.76
0.40,0.31,0.25,0.6,1.0,0.75
0.45,0.28,0.22,0.59,1.0,0.74
max
0.05,0.84,0.74,0.87,0.87,0.87
0.10,0.71,0.71,0.79,0.93,0.85
0.15,0.64,0.68,0.75,0.96,0.84
0.20,0.54,0.57,0.7,0.98,0.82
0.25,0.46,0.48,0.67,0.99,0.8
0.30,0.4,0.41,0.64,0.99,0.78
0.35,0.35,0.28,0.61,1.0,0.76
0.40,0.32,0.26,0.6,1.0,0.75
0.45,0.29,0.23,0.59,1.0,0.74
min
0.05,0.78,0.73,0.83,0.87,0.85
0.10,0.7,0.7,0.78,0.92,0.85
0.15,0.61,0.61,0.73,0.95,0.82
0.20,0.53,0.5,0.69,0.97,0.81
0.25,0.44,0.39,0.65,0.99,0.78
0.30,0.38,0.31,0.62,0.99,0.76
0.35,0.33,0.28,0.61,0.99,0.75
0.40,0.3,0.23,0.59,1.0,0.74
0.45,0.27,0.21,0.58,1.0,0.74
std
0.05,0.02,0.0,0.02,0.0,0.01
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.01,0.03,0.01,0.0,0.01
0.20,0.0,0.03,0.0,0.0,0.0
0.25,0.01,0.04,0.01,0.0,0.01
0.30,0.01,0.04,0.01,0.0,0.01
0.35,0.01,0.0,0.0,0.0,0.0
0.40,0.01,0.01,0.0,0.0,0.0
0.45,0.01,0.01,0.0,0.0,0.0
test finished in 2381.07 seconds
