,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.77,0.62,0.94,0.81,0.87
0.10,0.88,0.81,0.92,0.92,0.92
0.15,0.82,0.8,0.87,0.95,0.91
0.20,0.69,0.72,0.79,0.98,0.87
0.25,0.59,0.63,0.73,0.99,0.84
0.30,0.49,0.51,0.69,1.0,0.81
0.35,0.39,0.37,0.64,1.0,0.78
0.40,0.33,0.29,0.61,1.0,0.76
0.45,0.28,0.25,0.6,1.0,0.75
max
0.05,0.8,0.72,0.95,0.83,0.89
0.10,0.92,0.89,0.95,0.94,0.94
0.15,0.86,0.87,0.9,0.97,0.93
0.20,0.72,0.77,0.81,0.98,0.89
0.25,0.63,0.67,0.75,0.99,0.86
0.30,0.54,0.58,0.71,1.0,0.83
0.35,0.41,0.4,0.65,1.0,0.79
0.40,0.36,0.33,0.63,1.0,0.77
0.45,0.31,0.27,0.61,1.0,0.76
min
0.05,0.71,0.48,0.92,0.76,0.83
0.10,0.83,0.74,0.88,0.89,0.88
0.15,0.76,0.76,0.83,0.94,0.88
0.20,0.63,0.65,0.76,0.97,0.85
0.25,0.53,0.56,0.7,0.98,0.82
0.30,0.42,0.42,0.66,0.99,0.79
0.35,0.37,0.36,0.63,0.99,0.77
0.40,0.31,0.26,0.6,0.99,0.75
0.45,0.27,0.22,0.59,0.99,0.74
std
0.05,0.04,0.1,0.01,0.03,0.03
0.10,0.04,0.06,0.03,0.02,0.03
0.15,0.04,0.05,0.03,0.01,0.02
0.20,0.04,0.05,0.02,0.0,0.02
0.25,0.04,0.05,0.02,0.0,0.02
0.30,0.05,0.07,0.02,0.0,0.02
0.35,0.02,0.02,0.01,0.0,0.01
0.40,0.02,0.03,0.01,0.0,0.01
0.45,0.02,0.02,0.01,0.0,0.01
test finished in 309.90 seconds
