,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.61,0.55,0.72,0.9,0.8
0.10,0.55,0.49,0.69,0.93,0.79
0.15,0.49,0.43,0.67,0.95,0.79
0.20,0.44,0.39,0.65,0.97,0.78
0.25,0.39,0.33,0.63,0.98,0.77
0.30,0.36,0.31,0.62,0.99,0.77
0.35,0.32,0.29,0.61,1.0,0.76
0.40,0.29,0.25,0.6,1.0,0.75
0.45,0.27,0.23,0.59,1.0,0.74
max
0.05,0.63,0.61,0.73,0.91,0.81
0.10,0.57,0.54,0.71,0.93,0.8
0.15,0.51,0.49,0.68,0.96,0.8
0.20,0.46,0.43,0.66,0.98,0.79
0.25,0.4,0.37,0.64,0.99,0.77
0.30,0.37,0.35,0.62,0.99,0.77
0.35,0.34,0.34,0.61,1.0,0.76
0.40,0.31,0.3,0.6,1.0,0.75
0.45,0.29,0.28,0.59,1.0,0.74
min
0.05,0.58,0.49,0.71,0.9,0.79
0.10,0.52,0.46,0.68,0.92,0.78
0.15,0.47,0.4,0.66,0.94,0.78
0.20,0.42,0.36,0.64,0.97,0.77
0.25,0.37,0.29,0.62,0.98,0.76
0.30,0.34,0.27,0.61,0.99,0.76
0.35,0.31,0.25,0.6,1.0,0.75
0.40,0.28,0.22,0.59,1.0,0.74
0.45,0.26,0.21,0.58,1.0,0.74
std
0.05,0.02,0.05,0.01,0.0,0.01
0.10,0.02,0.03,0.01,0.0,0.01
0.15,0.02,0.04,0.01,0.01,0.01
0.20,0.02,0.03,0.01,0.0,0.01
0.25,0.01,0.03,0.01,0.0,0.0
0.30,0.01,0.03,0.0,0.0,0.0
0.35,0.01,0.04,0.0,0.0,0.0
0.40,0.01,0.03,0.0,0.0,0.0
0.45,0.01,0.03,0.0,0.0,0.0
test finished in 1302.50 seconds
