,AMI,ARI,Completeness,Homogeneity,V-measure
mean
th0.6 method1 k15 t0.7 c0.3,0.88,0.85,0.91,0.95,0.92
th0.6 method1 k15 t0.8 c0.2,0.84,0.83,0.88,0.95,0.92
th0.6 method1 k15 t0.9 c0.1,0.83,0.83,0.87,0.96,0.91
th0.65 method1 k15 t0.4 c0.6,0.89,0.88,0.92,0.96,0.94
th0.65 method1 k15 t0.5 c0.5,0.85,0.84,0.89,0.96,0.93
th0.65 method1 k15 t0.6 c0.4,0.82,0.82,0.86,0.96,0.91
max
th0.6 method1 k15 t0.7 c0.3,0.9,0.9,0.92,0.97,0.94
th0.6 method1 k15 t0.8 c0.2,0.85,0.84,0.89,0.97,0.93
th0.6 method1 k15 t0.9 c0.1,0.85,0.87,0.89,0.97,0.92
th0.65 method1 k15 t0.4 c0.6,0.91,0.93,0.93,0.98,0.96
th0.65 method1 k15 t0.5 c0.5,0.86,0.86,0.89,0.97,0.93
th0.65 method1 k15 t0.6 c0.4,0.84,0.84,0.88,0.97,0.92
min
th0.6 method1 k15 t0.7 c0.3,0.87,0.8,0.9,0.93,0.91
th0.6 method1 k15 t0.8 c0.2,0.83,0.82,0.87,0.94,0.91
th0.6 method1 k15 t0.9 c0.1,0.81,0.78,0.85,0.94,0.89
th0.65 method1 k15 t0.4 c0.6,0.87,0.83,0.9,0.95,0.92
th0.65 method1 k15 t0.5 c0.5,0.85,0.82,0.89,0.95,0.92
th0.65 method1 k15 t0.6 c0.4,0.8,0.8,0.85,0.96,0.9
std
th0.6 method1 k15 t0.7 c0.3,0.01,0.04,0.01,0.02,0.01
th0.6 method1 k15 t0.8 c0.2,0.01,0.01,0.01,0.01,0.01
th0.6 method1 k15 t0.9 c0.1,0.02,0.04,0.02,0.01,0.01
th0.65 method1 k15 t0.4 c0.6,0.02,0.04,0.01,0.01,0.02
th0.65 method1 k15 t0.5 c0.5,0.0,0.02,0.0,0.01,0.0
th0.65 method1 k15 t0.6 c0.4,0.02,0.02,0.01,0.0,0.01
test finished in 178.50 seconds
