,AMI,ARI,Completeness,Homogeneity,V-measure
mean
th0.3 method1 k25 t0.7 c0.3,0.0,0.0,1.0,0.0,0.0
th0.35 method1 k25 t0.7 c0.3,0.0,0.0,1.0,0.0,0.0
th0.39999999999999997 method1 k25 t0.7 c0.3,0.0,0.0,0.88,0.01,0.01
th0.44999999999999996 method1 k25 t0.7 c0.3,0.36,0.2,0.89,0.39,0.49
th0.49999999999999994 method1 k25 t0.7 c0.3,0.54,0.42,0.9,0.57,0.63
th0.5499999999999999 method1 k25 t0.7 c0.3,0.66,0.6,0.81,0.69,0.7
th0.6 method1 k25 t0.7 c0.3,0.73,0.68,0.85,0.79,0.8
th0.65 method1 k25 t0.7 c0.3,0.76,0.74,0.83,0.9,0.86
th0.7000000000000001 method1 k25 t0.7 c0.3,0.66,0.68,0.76,0.95,0.84
th0.7500000000000001 method1 k25 t0.7 c0.3,0.54,0.57,0.7,0.97,0.81
th0.8000000000000002 method1 k25 t0.7 c0.3,0.41,0.42,0.65,0.99,0.78
max
th0.3 method1 k25 t0.7 c0.3,-0.0,0.0,1.0,-0.0,-0.0
th0.35 method1 k25 t0.7 c0.3,-0.0,0.0,1.0,-0.0,-0.0
th0.39999999999999997 method1 k25 t0.7 c0.3,0.02,0.0,1.0,0.03,0.06
th0.44999999999999996 method1 k25 t0.7 c0.3,0.5,0.32,1.0,0.53,0.66
th0.49999999999999994 method1 k25 t0.7 c0.3,0.7,0.58,1.0,0.74,0.81
th0.5499999999999999 method1 k25 t0.7 c0.3,0.85,0.81,0.91,0.88,0.89
th0.6 method1 k25 t0.7 c0.3,0.87,0.87,0.9,0.94,0.92
th0.65 method1 k25 t0.7 c0.3,0.84,0.87,0.88,0.98,0.92
th0.7000000000000001 method1 k25 t0.7 c0.3,0.71,0.76,0.79,0.99,0.88
th0.7500000000000001 method1 k25 t0.7 c0.3,0.57,0.62,0.72,1.0,0.83
th0.8000000000000002 method1 k25 t0.7 c0.3,0.45,0.5,0.66,1.0,0.79
min
th0.3 method1 k25 t0.7 c0.3,-0.0,0.0,1.0,-0.0,-0.0
th0.35 method1 k25 t0.7 c0.3,-0.0,0.0,1.0,-0.0,-0.0
th0.39999999999999997 method1 k25 t0.7 c0.3,-0.0,0.0,0.44,-0.0,-0.0
th0.44999999999999996 method1 k25 t0.7 c0.3,0.0,0.0,0.85,0.0,0.0
th0.49999999999999994 method1 k25 t0.7 c0.3,0.0,0.0,0.87,0.0,0.0
th0.5499999999999999 method1 k25 t0.7 c0.3,0.0,0.0,0.47,0.01,0.01
th0.6 method1 k25 t0.7 c0.3,0.19,0.04,0.65,0.23,0.34
th0.65 method1 k25 t0.7 c0.3,0.51,0.36,0.68,0.59,0.63
th0.7000000000000001 method1 k25 t0.7 c0.3,0.58,0.51,0.69,0.78,0.73
th0.7500000000000001 method1 k25 t0.7 c0.3,0.49,0.47,0.66,0.87,0.75
th0.8000000000000002 method1 k25 t0.7 c0.3,0.31,0.25,0.6,0.96,0.74
std
th0.3 method1 k25 t0.7 c0.3,0.0,0.0,0.0,0.0,0.0
th0.35 method1 k25 t0.7 c0.3,0.0,0.0,0.0,0.0,0.0
th0.39999999999999997 method1 k25 t0.7 c0.3,0.01,0.0,0.22,0.01,0.02
th0.44999999999999996 method1 k25 t0.7 c0.3,0.19,0.12,0.06,0.2,0.25
th0.49999999999999994 method1 k25 t0.7 c0.3,0.27,0.22,0.05,0.29,0.32
th0.5499999999999999 method1 k25 t0.7 c0.3,0.33,0.3,0.17,0.34,0.35
th0.6 method1 k25 t0.7 c0.3,0.27,0.32,0.1,0.28,0.23
th0.65 method1 k25 t0.7 c0.3,0.13,0.19,0.08,0.15,0.11
th0.7000000000000001 method1 k25 t0.7 c0.3,0.05,0.09,0.04,0.08,0.06
th0.7500000000000001 method1 k25 t0.7 c0.3,0.03,0.06,0.02,0.05,0.03
th0.8000000000000002 method1 k25 t0.7 c0.3,0.05,0.09,0.02,0.02,0.02
test finished in 440.59 seconds
