,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.55,0.89,0.84,0.91,0.93,0.92
centroid-0.65,0.27,0.06,0.82,0.35,0.49
complete-0.75,0.63,0.7,0.75,0.98,0.85
single-0.45,0.83,0.79,0.87,0.92,0.89
max
average-0.55,0.91,0.88,0.92,0.95,0.94
centroid-0.65,0.32,0.07,0.85,0.39,0.54
complete-0.75,0.66,0.76,0.77,0.99,0.87
single-0.45,0.84,0.8,0.88,0.93,0.9
min
average-0.55,0.87,0.78,0.9,0.92,0.91
centroid-0.65,0.21,0.04,0.79,0.28,0.41
complete-0.75,0.58,0.64,0.72,0.97,0.84
single-0.45,0.82,0.76,0.86,0.9,0.88
std
average-0.55,0.02,0.03,0.01,0.01,0.01
centroid-0.65,0.04,0.01,0.02,0.04,0.05
complete-0.75,0.03,0.05,0.02,0.01,0.01
single-0.45,0.01,0.02,0.01,0.01,0.01
test finished in 2078.26 seconds
