,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.35,0.06,0.01,0.97,0.07,0.13
0.40,0.36,0.13,0.93,0.39,0.55
0.45,0.66,0.47,0.94,0.7,0.8
0.50,0.8,0.68,0.93,0.83,0.88
0.55,0.88,0.82,0.91,0.92,0.91
0.60,0.84,0.83,0.88,0.96,0.92
0.65,0.74,0.76,0.82,0.98,0.89
0.70,0.62,0.65,0.75,0.99,0.85
0.75,0.5,0.53,0.69,1.0,0.81
0.80,0.39,0.38,0.64,1.0,0.78
0.85,0.3,0.28,0.6,1.0,0.75
max
0.35,0.1,0.02,1.0,0.1,0.19
0.40,0.38,0.15,0.95,0.41,0.57
0.45,0.72,0.56,0.95,0.75,0.83
0.50,0.85,0.78,0.94,0.88,0.91
0.55,0.89,0.85,0.93,0.93,0.92
0.60,0.87,0.86,0.9,0.98,0.93
0.65,0.8,0.86,0.86,0.99,0.92
0.70,0.68,0.76,0.79,1.0,0.88
0.75,0.57,0.64,0.73,1.0,0.84
0.80,0.44,0.47,0.67,1.0,0.8
0.85,0.34,0.36,0.62,1.0,0.77
min
0.35,0.03,0.0,0.94,0.03,0.06
0.40,0.33,0.1,0.92,0.36,0.52
0.45,0.6,0.38,0.93,0.63,0.75
0.50,0.74,0.56,0.92,0.78,0.85
0.55,0.86,0.79,0.91,0.9,0.9
0.60,0.81,0.81,0.86,0.94,0.9
0.65,0.7,0.7,0.79,0.97,0.87
0.70,0.55,0.53,0.71,0.99,0.83
0.75,0.45,0.45,0.67,0.99,0.8
0.80,0.36,0.34,0.63,1.0,0.77
0.85,0.27,0.24,0.59,1.0,0.74
std
0.35,0.02,0.01,0.02,0.02,0.04
0.40,0.02,0.02,0.01,0.02,0.02
0.45,0.05,0.06,0.01,0.04,0.03
0.50,0.04,0.09,0.01,0.04,0.02
0.55,0.01,0.02,0.01,0.01,0.01
0.60,0.02,0.02,0.01,0.01,0.01
0.65,0.04,0.06,0.03,0.01,0.02
0.70,0.04,0.08,0.03,0.0,0.02
0.75,0.04,0.07,0.02,0.0,0.01
0.80,0.03,0.05,0.02,0.0,0.01
0.85,0.02,0.04,0.01,0.0,0.01
test finished in 5406.98 seconds
