,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,0.49,0.0,0.0
0.40,0.44,0.22,0.91,0.45,0.6
0.50,0.85,0.78,0.9,0.86,0.88
0.60,0.79,0.8,0.82,0.96,0.88
0.70,0.55,0.49,0.65,0.99,0.78
0.80,0.36,0.25,0.55,1.0,0.7
0.90,0.24,0.14,0.49,1.0,0.66
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.51,0.33,0.94,0.52,0.67
0.50,0.87,0.83,0.91,0.88,0.89
0.60,0.81,0.84,0.83,0.97,0.89
0.70,0.58,0.59,0.67,0.99,0.8
0.80,0.4,0.32,0.57,1.0,0.72
0.90,0.26,0.15,0.5,1.0,0.67
min
0.30,0.0,0.0,0.31,0.0,0.0
0.40,0.34,0.12,0.88,0.35,0.5
0.50,0.82,0.74,0.88,0.84,0.87
0.60,0.75,0.77,0.79,0.95,0.86
0.70,0.52,0.39,0.63,0.98,0.77
0.80,0.33,0.19,0.53,1.0,0.69
0.90,0.23,0.13,0.48,1.0,0.65
std
0.30,0.0,0.0,0.26,0.0,0.0
0.40,0.06,0.07,0.02,0.06,0.06
0.50,0.02,0.03,0.01,0.01,0.01
0.60,0.02,0.03,0.01,0.01,0.01
0.70,0.02,0.08,0.02,0.0,0.01
0.80,0.02,0.05,0.01,0.0,0.01
0.90,0.01,0.01,0.01,0.0,0.01
test finished in 24478.15 seconds
