,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.0,0.0,0.88,0.0,0.0
0.45,0.0,0.0,0.76,0.0,0.0
0.50,0.02,0.0,0.71,0.02,0.04
0.55,0.04,0.01,0.75,0.05,0.1
0.60,0.09,0.01,0.77,0.13,0.22
0.65,0.25,0.05,0.8,0.33,0.46
0.70,0.55,0.19,0.82,0.64,0.72
0.75,0.69,0.71,0.78,0.98,0.87
max
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.45,-0.0,0.0,1.0,-0.0,-0.0
0.50,0.05,0.01,1.0,0.07,0.12
0.55,0.06,0.01,0.83,0.08,0.14
0.60,0.13,0.02,0.83,0.16,0.27
0.65,0.29,0.06,0.83,0.37,0.51
0.70,0.64,0.26,0.85,0.71,0.78
0.75,0.72,0.78,0.8,1.0,0.89
min
0.40,-0.0,0.0,0.41,-0.0,-0.0
0.45,-0.0,0.0,0.41,-0.0,-0.0
0.50,-0.0,-0.0,0.41,0.0,0.0
0.55,0.0,0.0,0.55,0.02,0.03
0.60,0.06,0.01,0.7,0.09,0.16
0.65,0.22,0.04,0.78,0.3,0.44
0.70,0.44,0.11,0.79,0.55,0.65
0.75,0.65,0.58,0.76,0.93,0.84
std
0.40,0.0,0.0,0.24,0.0,0.0
0.45,0.0,0.0,0.29,0.0,0.0
0.50,0.02,0.0,0.22,0.03,0.05
0.55,0.02,0.0,0.1,0.02,0.04
0.60,0.03,0.0,0.04,0.03,0.04
0.65,0.02,0.01,0.02,0.03,0.03
0.70,0.07,0.06,0.02,0.06,0.05
0.75,0.02,0.07,0.01,0.02,0.02
test finished in 782.63 seconds
