,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.75,0.0,0.0
0.60,0.0,0.0,0.47,0.02,0.03
0.70,0.34,0.08,0.7,0.42,0.53
0.80,0.49,0.52,0.62,1.0,0.76
0.90,0.29,0.22,0.51,1.0,0.68
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.60,0.01,0.0,0.51,0.02,0.04
0.70,0.43,0.12,0.73,0.51,0.6
0.80,0.51,0.58,0.63,1.0,0.77
0.90,0.32,0.28,0.53,1.0,0.69
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.37,0.0,0.0
0.60,0.0,0.0,0.43,0.01,0.02
0.70,0.24,0.05,0.65,0.32,0.44
0.80,0.43,0.4,0.58,1.0,0.73
0.90,0.26,0.17,0.49,1.0,0.66
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.31,0.0,0.0
0.60,0.0,0.0,0.03,0.0,0.01
0.70,0.06,0.02,0.03,0.06,0.05
0.80,0.03,0.06,0.02,0.0,0.02
0.90,0.02,0.04,0.01,0.0,0.01
test finished in 73277.01 seconds
