,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.8,0.7,0.83,0.82,0.82
0.40,0.78,0.73,0.8,0.9,0.85
0.50,0.71,0.64,0.75,0.95,0.84
0.60,0.61,0.54,0.68,0.98,0.8
0.70,0.48,0.39,0.6,0.99,0.75
0.80,0.35,0.27,0.54,1.0,0.7
0.90,0.27,0.21,0.51,1.0,0.67
max
0.30,0.82,0.73,0.87,0.84,0.84
0.40,0.82,0.8,0.84,0.92,0.87
0.50,0.73,0.7,0.77,0.96,0.85
0.60,0.64,0.62,0.71,0.98,0.82
0.70,0.5,0.43,0.62,0.99,0.77
0.80,0.37,0.3,0.56,1.0,0.71
0.90,0.28,0.24,0.52,1.0,0.68
min
0.30,0.79,0.66,0.81,0.8,0.81
0.40,0.74,0.64,0.76,0.88,0.82
0.50,0.69,0.59,0.73,0.94,0.82
0.60,0.59,0.44,0.66,0.97,0.79
0.70,0.47,0.32,0.59,0.99,0.74
0.80,0.33,0.23,0.53,1.0,0.69
0.90,0.25,0.19,0.5,1.0,0.66
std
0.30,0.01,0.03,0.02,0.01,0.01
0.40,0.03,0.06,0.03,0.02,0.02
0.50,0.02,0.04,0.01,0.01,0.01
0.60,0.02,0.07,0.02,0.0,0.01
0.70,0.01,0.04,0.01,0.0,0.01
0.80,0.01,0.03,0.01,0.0,0.01
0.90,0.01,0.02,0.01,0.0,0.01
test finished in 19165.63 seconds
