,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.55,0.87,0.79,0.9,0.91,0.91
centroid-0.55,0.87,0.78,0.9,0.91,0.9
complete-0.75,0.6,0.63,0.73,0.98,0.84
single-0.45,0.81,0.71,0.85,0.89,0.87
max
average-0.55,0.88,0.86,0.91,0.95,0.93
centroid-0.55,0.88,0.86,0.92,0.95,0.93
complete-0.75,0.63,0.68,0.75,0.99,0.85
single-0.45,0.83,0.76,0.87,0.9,0.88
min
average-0.55,0.85,0.73,0.89,0.88,0.89
centroid-0.55,0.86,0.73,0.89,0.88,0.89
complete-0.75,0.56,0.59,0.71,0.97,0.83
single-0.45,0.77,0.62,0.82,0.86,0.84
std
average-0.55,0.01,0.05,0.01,0.03,0.01
centroid-0.55,0.01,0.05,0.01,0.03,0.01
complete-0.75,0.03,0.03,0.01,0.01,0.01
single-0.45,0.02,0.05,0.02,0.02,0.01
test finished in 327.55 seconds
