,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.28,0.09,0.93,0.3,0.45
0.45,0.64,0.43,0.93,0.68,0.78
0.50,0.81,0.69,0.93,0.84,0.88
0.55,0.87,0.79,0.9,0.91,0.91
0.60,0.82,0.82,0.86,0.96,0.91
0.65,0.71,0.72,0.8,0.98,0.88
0.70,0.6,0.6,0.73,0.99,0.84
0.75,0.48,0.48,0.68,1.0,0.81
max
0.40,0.4,0.19,0.97,0.43,0.58
0.45,0.67,0.5,0.95,0.71,0.81
0.50,0.84,0.74,0.95,0.87,0.9
0.55,0.89,0.85,0.93,0.94,0.92
0.60,0.87,0.88,0.9,0.97,0.93
0.65,0.74,0.74,0.81,0.99,0.89
0.70,0.64,0.68,0.76,1.0,0.86
0.75,0.53,0.54,0.7,1.0,0.82
min
0.40,0.21,0.05,0.9,0.23,0.37
0.45,0.6,0.36,0.91,0.63,0.75
0.50,0.78,0.63,0.92,0.81,0.86
0.55,0.85,0.68,0.89,0.88,0.89
0.60,0.79,0.77,0.84,0.94,0.89
0.65,0.67,0.7,0.78,0.96,0.87
0.70,0.56,0.51,0.7,0.99,0.83
0.75,0.46,0.41,0.66,1.0,0.79
std
0.40,0.08,0.05,0.03,0.08,0.09
0.45,0.02,0.05,0.02,0.03,0.02
0.50,0.02,0.04,0.01,0.02,0.01
0.55,0.01,0.06,0.01,0.02,0.01
0.60,0.03,0.04,0.02,0.01,0.01
0.65,0.02,0.02,0.01,0.01,0.01
0.70,0.03,0.06,0.02,0.0,0.01
0.75,0.03,0.04,0.02,0.0,0.01
test finished in 227.96 seconds
