,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.0,0.0,0.77,0.0,0.0
0.55,0.01,0.0,0.58,0.01,0.03
0.60,0.04,0.01,0.76,0.06,0.12
0.65,0.14,0.02,0.74,0.21,0.32
0.70,0.72,0.43,0.8,0.81,0.8
0.75,0.62,0.65,0.74,0.97,0.84
0.80,0.46,0.48,0.66,1.0,0.8
0.85,0.31,0.3,0.61,1.0,0.75
0.90,0.24,0.21,0.58,1.0,0.74
0.95,0.21,0.16,0.56,1.0,0.72
max
0.50,0.01,0.0,1.0,0.01,0.02
0.55,0.03,0.0,0.87,0.04,0.08
0.60,0.05,0.01,0.85,0.07,0.13
0.65,0.24,0.04,0.81,0.31,0.45
0.70,0.74,0.48,0.81,0.85,0.83
0.75,0.64,0.67,0.76,0.99,0.85
0.80,0.48,0.5,0.68,1.0,0.81
0.85,0.33,0.33,0.61,1.0,0.76
0.90,0.27,0.23,0.59,1.0,0.74
0.95,0.24,0.19,0.57,1.0,0.73
min
0.50,0.0,0.0,0.41,0.0,0.0
0.55,0.0,0.0,0.4,0.0,0.01
0.60,0.03,0.0,0.7,0.05,0.09
0.65,0.04,0.01,0.65,0.09,0.17
0.70,0.7,0.34,0.79,0.78,0.78
0.75,0.6,0.62,0.73,0.97,0.83
0.80,0.42,0.45,0.65,1.0,0.79
0.85,0.29,0.28,0.6,1.0,0.75
0.90,0.21,0.18,0.57,1.0,0.73
0.95,0.19,0.11,0.55,1.0,0.71
std
0.50,0.0,0.0,0.29,0.0,0.01
0.55,0.01,0.0,0.19,0.02,0.03
0.60,0.01,0.0,0.05,0.01,0.01
0.65,0.08,0.01,0.06,0.09,0.11
0.70,0.01,0.06,0.01,0.03,0.02
0.75,0.02,0.02,0.01,0.01,0.01
0.80,0.02,0.02,0.01,0.0,0.01
0.85,0.01,0.02,0.0,0.0,0.0
0.90,0.02,0.02,0.01,0.0,0.0
0.95,0.02,0.03,0.01,0.0,0.01
test finished in 2151.08 seconds
