,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.6,0.84,0.84,0.88,0.95,0.91
centroid-0.75,0.67,0.73,0.78,0.99,0.87
complete-0.75,0.64,0.67,0.76,0.97,0.85
single-0.45,0.7,0.66,0.77,0.88,0.82
max
average-0.6,0.87,0.87,0.9,0.96,0.92
centroid-0.75,0.7,0.76,0.79,1.0,0.88
complete-0.75,0.66,0.7,0.77,0.99,0.86
single-0.45,0.74,0.7,0.8,0.89,0.84
min
average-0.6,0.8,0.79,0.85,0.94,0.89
centroid-0.75,0.65,0.69,0.76,0.98,0.86
complete-0.75,0.62,0.64,0.75,0.96,0.84
single-0.45,0.68,0.61,0.76,0.87,0.81
std
average-0.6,0.02,0.03,0.02,0.01,0.01
centroid-0.75,0.02,0.03,0.01,0.01,0.01
complete-0.75,0.01,0.02,0.01,0.01,0.01
single-0.45,0.02,0.03,0.02,0.01,0.01
test finished in 416.23 seconds
