,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.35,0.02,0.01,0.77,0.02,0.04
0.40,0.33,0.13,0.86,0.35,0.5
0.45,0.63,0.42,0.87,0.67,0.76
0.50,0.77,0.66,0.88,0.81,0.84
0.55,0.87,0.82,0.9,0.91,0.9
0.60,0.84,0.84,0.88,0.96,0.92
0.65,0.74,0.76,0.82,0.98,0.89
0.70,0.62,0.65,0.75,0.99,0.85
0.75,0.5,0.52,0.68,1.0,0.81
0.80,0.4,0.39,0.64,1.0,0.78
0.85,0.31,0.27,0.6,1.0,0.75
max
0.35,0.12,0.03,1.0,0.12,0.22
0.40,0.39,0.21,0.89,0.42,0.57
0.45,0.65,0.47,0.89,0.69,0.78
0.50,0.79,0.71,0.9,0.83,0.86
0.55,0.89,0.87,0.91,0.93,0.92
0.60,0.86,0.88,0.9,0.96,0.93
0.65,0.8,0.82,0.85,0.98,0.91
0.70,0.67,0.71,0.77,0.99,0.87
0.75,0.54,0.57,0.7,1.0,0.82
0.80,0.43,0.44,0.65,1.0,0.79
0.85,0.33,0.31,0.61,1.0,0.75
min
0.35,-0.0,0.0,0.41,-0.0,-0.0
0.40,0.24,0.07,0.83,0.26,0.4
0.45,0.61,0.37,0.85,0.64,0.74
0.50,0.75,0.62,0.86,0.79,0.83
0.55,0.85,0.78,0.88,0.9,0.89
0.60,0.81,0.78,0.86,0.95,0.9
0.65,0.72,0.73,0.8,0.97,0.88
0.70,0.6,0.59,0.73,0.99,0.84
0.75,0.48,0.46,0.67,0.99,0.8
0.80,0.37,0.33,0.62,1.0,0.77
0.85,0.29,0.24,0.59,1.0,0.74
std
0.35,0.05,0.01,0.24,0.05,0.09
0.40,0.06,0.05,0.02,0.06,0.06
0.45,0.02,0.04,0.01,0.02,0.02
0.50,0.02,0.03,0.01,0.01,0.01
0.55,0.02,0.04,0.01,0.01,0.01
0.60,0.02,0.03,0.01,0.0,0.01
0.65,0.03,0.03,0.02,0.0,0.01
0.70,0.03,0.04,0.01,0.0,0.01
0.75,0.02,0.04,0.01,0.0,0.01
0.80,0.02,0.04,0.01,0.0,0.01
0.85,0.01,0.02,0.01,0.0,0.0
test finished in 2044.29 seconds
