,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,0.79,0.0,0.0
0.40,0.0,0.0,0.6,0.0,0.0
0.45,0.0,0.0,0.42,0.0,0.0
0.50,0.01,0.0,0.44,0.01,0.01
0.55,0.07,0.01,0.91,0.08,0.14
0.60,0.15,0.03,0.86,0.16,0.27
0.65,0.37,0.1,0.86,0.41,0.55
0.70,0.69,0.35,0.82,0.73,0.77
0.75,0.69,0.71,0.74,0.97,0.84
0.80,0.52,0.54,0.64,1.0,0.78
0.85,0.37,0.36,0.55,1.0,0.71
0.90,0.28,0.22,0.51,1.0,0.68
max
0.30,0.0,0.0,1.0,0.0,0.0
0.35,-0.0,-0.0,1.0,0.0,0.0
0.40,-0.0,-0.0,1.0,0.0,0.0
0.45,-0.0,-0.0,1.0,0.0,0.0
0.50,0.09,0.02,1.0,0.09,0.16
0.55,0.13,0.03,0.97,0.14,0.25
0.60,0.23,0.06,0.93,0.24,0.38
0.65,0.49,0.18,0.92,0.52,0.66
0.70,0.85,0.68,0.87,0.88,0.87
0.75,0.74,0.8,0.78,0.99,0.86
0.80,0.57,0.65,0.67,1.0,0.8
0.85,0.41,0.46,0.58,1.0,0.73
0.90,0.31,0.3,0.53,1.0,0.69
min
0.30,0.0,0.0,1.0,0.0,0.0
0.35,-0.0,-0.0,0.3,0.0,0.0
0.40,-0.0,-0.0,0.26,0.0,0.0
0.45,-0.0,-0.0,0.26,0.0,0.0
0.50,0.0,0.0,0.32,0.0,0.0
0.55,0.01,0.0,0.69,0.02,0.04
0.60,0.06,0.01,0.74,0.08,0.15
0.65,0.27,0.06,0.82,0.31,0.45
0.70,0.51,0.17,0.76,0.57,0.65
0.75,0.64,0.58,0.71,0.93,0.81
0.80,0.46,0.42,0.59,1.0,0.74
0.85,0.32,0.22,0.52,1.0,0.69
0.90,0.25,0.13,0.49,1.0,0.66
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.3,0.0,0.0
0.40,0.0,0.0,0.33,0.0,0.0
0.45,0.0,0.0,0.22,0.0,0.0
0.50,0.02,0.0,0.19,0.02,0.04
0.55,0.03,0.01,0.05,0.03,0.04
0.60,0.05,0.01,0.05,0.05,0.07
0.65,0.06,0.03,0.02,0.06,0.06
0.70,0.08,0.13,0.03,0.08,0.05
0.75,0.02,0.05,0.02,0.02,0.01
0.80,0.03,0.06,0.02,0.0,0.01
0.85,0.02,0.06,0.01,0.0,0.01
0.90,0.02,0.05,0.01,0.0,0.01
test finished in 8532.22 seconds
