,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.97,0.0,0.0
0.45,0.0,0.0,0.63,0.0,0.0
0.50,0.0,0.0,0.61,0.0,0.0
0.55,0.0,0.0,0.43,0.0,0.01
0.60,0.01,0.0,0.52,0.02,0.04
0.65,0.05,0.01,0.57,0.08,0.14
0.70,0.33,0.08,0.7,0.41,0.51
0.75,0.65,0.61,0.72,0.93,0.81
0.80,0.49,0.51,0.62,1.0,0.77
max
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,1.0,0.0,0.0
0.55,0.01,0.0,0.84,0.02,0.03
0.60,0.02,0.0,0.76,0.03,0.07
0.65,0.12,0.03,0.74,0.17,0.27
0.70,0.62,0.3,0.81,0.68,0.74
0.75,0.7,0.78,0.76,0.99,0.85
0.80,0.57,0.65,0.67,1.0,0.8
min
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.33,0.0,0.0
0.45,0.0,0.0,0.27,0.0,0.0
0.50,0.0,0.0,0.27,0.0,0.0
0.55,0.0,0.0,0.34,0.0,0.0
0.60,0.0,0.0,0.37,0.01,0.01
0.65,0.01,0.0,0.42,0.03,0.06
0.70,0.2,0.03,0.62,0.28,0.39
0.75,0.59,0.37,0.68,0.84,0.76
0.80,0.4,0.37,0.57,0.99,0.72
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.13,0.0,0.0
0.45,0.0,0.0,0.33,0.0,0.0
0.50,0.0,0.0,0.32,0.0,0.0
0.55,0.0,0.0,0.1,0.01,0.01
0.60,0.01,0.0,0.12,0.01,0.02
0.65,0.03,0.01,0.09,0.03,0.05
0.70,0.12,0.07,0.05,0.11,0.1
0.75,0.03,0.08,0.02,0.03,0.02
0.80,0.03,0.07,0.02,0.0,0.02
test finished in 84936.54 seconds
