,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.68,0.62,0.71,0.75,0.73
0.35,0.69,0.67,0.72,0.8,0.76
0.40,0.67,0.66,0.71,0.85,0.77
0.45,0.65,0.62,0.69,0.89,0.78
0.50,0.62,0.56,0.68,0.92,0.78
0.55,0.58,0.49,0.65,0.95,0.77
0.60,0.52,0.37,0.62,0.97,0.76
0.65,0.47,0.32,0.59,0.99,0.74
0.70,0.42,0.27,0.56,0.99,0.72
0.75,0.36,0.21,0.53,1.0,0.7
0.80,0.32,0.18,0.52,1.0,0.68
max
0.30,0.72,0.72,0.74,0.77,0.76
0.35,0.73,0.76,0.75,0.82,0.78
0.40,0.71,0.76,0.74,0.87,0.8
0.45,0.72,0.78,0.75,0.9,0.82
0.50,0.67,0.68,0.72,0.93,0.81
0.55,0.64,0.64,0.7,0.96,0.81
0.60,0.58,0.5,0.66,0.97,0.79
0.65,0.54,0.46,0.64,0.99,0.77
0.70,0.47,0.41,0.6,0.99,0.75
0.75,0.42,0.31,0.57,1.0,0.73
0.80,0.37,0.28,0.55,1.0,0.71
min
0.30,0.64,0.55,0.67,0.73,0.7
0.35,0.63,0.56,0.67,0.77,0.72
0.40,0.63,0.6,0.68,0.84,0.75
0.45,0.62,0.54,0.67,0.89,0.77
0.50,0.59,0.51,0.66,0.92,0.77
0.55,0.55,0.43,0.63,0.94,0.76
0.60,0.5,0.31,0.6,0.97,0.74
0.65,0.45,0.23,0.57,0.98,0.73
0.70,0.4,0.18,0.55,0.99,0.71
0.75,0.35,0.15,0.52,1.0,0.69
0.80,0.3,0.13,0.5,1.0,0.67
std
0.30,0.03,0.06,0.02,0.02,0.02
0.35,0.03,0.07,0.03,0.02,0.02
0.40,0.03,0.05,0.02,0.01,0.02
0.45,0.04,0.09,0.03,0.0,0.02
0.50,0.03,0.06,0.02,0.0,0.02
0.55,0.03,0.08,0.03,0.01,0.02
0.60,0.03,0.07,0.02,0.0,0.02
0.65,0.03,0.08,0.03,0.0,0.02
0.70,0.03,0.08,0.02,0.0,0.02
0.75,0.03,0.06,0.02,0.0,0.02
0.80,0.03,0.06,0.02,0.0,0.02
test finished in 12035.76 seconds
