,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.6,0.83,0.83,0.87,0.96,0.91
centroid-0.55,0.87,0.84,0.9,0.92,0.91
centroid-0.6,0.83,0.83,0.87,0.96,0.91
complete-0.75,0.62,0.65,0.75,0.98,0.85
single-0.5,0.71,0.67,0.78,0.92,0.85
max
average-0.6,0.86,0.89,0.89,0.97,0.93
centroid-0.55,0.9,0.87,0.92,0.93,0.92
centroid-0.6,0.86,0.89,0.89,0.97,0.93
complete-0.75,0.69,0.74,0.79,0.99,0.87
single-0.5,0.73,0.73,0.8,0.93,0.86
min
average-0.6,0.78,0.74,0.84,0.95,0.9
centroid-0.55,0.84,0.8,0.88,0.92,0.9
centroid-0.6,0.78,0.74,0.84,0.95,0.9
complete-0.75,0.52,0.49,0.7,0.96,0.81
single-0.5,0.67,0.57,0.76,0.92,0.83
std
average-0.6,0.03,0.05,0.02,0.01,0.01
centroid-0.55,0.02,0.02,0.01,0.0,0.01
centroid-0.6,0.03,0.05,0.02,0.01,0.01
complete-0.75,0.06,0.09,0.03,0.01,0.02
single-0.5,0.02,0.05,0.01,0.0,0.01
test finished in 150.84 seconds
